"pop","Cntrl_ama_per_cell","X","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","n_amas.y","corrected_ama","ama_per_cell","experiment","gene","viability","mean_value"
"C44",33.0189655172414,25,"B",6,700,19526,580,27.89,"ANF","0",375,19151,33.0189655172414,"EXP 1","GSH1",100,100
"C44",33.0189655172414,26,"C",6,623,6712,464,10.77,"ANF","0.15",215,6497,14.0021551724138,"EXP 1","GSH1",42.4064017544776,46.7826372222298
"C44",33.0189655172414,27,"D",6,700,10198,539,14.57,"ANF","0.62",147,10051,18.6474953617811,"EXP 1","GSH1",56.4751047456166,37.7542604774314
"C44",33.0189655172414,28,"E",6,538,5013,408,9.318,"ANF","1.2",161,4852,11.8921568627451,"EXP 1","GSH1",36.016140046954,31.4670731799085
"C44",33.0189655172414,29,"F",6,492,3218,400,6.541,"ANF","3",98,3120,7.8,"EXP 1","GSH1",23.6227873218109,22.617171603547
"C44",33.0189655172414,30,"G",6,526,2072,370,3.939,"ANF","5",104,1968,5.31891891891892,"EXP 1","GSH1",16.1086782568689,18.2929720430927
"C58",19.3442211055276,31,"G",7,678,2559,494,3.774,"ANF","5",104,2455,4.96963562753036,"EXP 1","GSH1",25.6905439635938,18.7425500119238
"C58",19.3442211055276,32,"F",7,623,2881,448,4.624,"ANF","3",98,2783,6.21205357142857,"EXP 1","GSH1",32.1132266713674,16.991717410048
"C58",19.3442211055276,33,"E",7,803,8813,645,10.98,"ANF","1.2",161,8652,13.4139534883721,"EXP 1","GSH1",69.3434665329537,31.1486527627151
"C58",19.3442211055276,34,"D",7,730,10352,600,14.18,"ANF","0.62",147,10205,17.0083333333333,"EXP 1","GSH1",87.9246222453133,45.8893676635664
"C58",19.3442211055276,35,"C",7,862,14641,659,16.98,"ANF","0.15",215,14426,21.8907435508346,"EXP 1","GSH1",113.164254230838,51.3172737782159
"C58",19.3442211055276,36,"B",7,536,8074,398,15.06,"ANF","0",375,7699,19.3442211055276,"EXP 1","GSH1",100,100
"C6",28.6464285714286,13,"B",4,664,16417,560,24.72,"ANF","0",375,16042,28.6464285714286,"EXP 1","GSH1",100,100
"C6",28.6464285714286,14,"C",4,598,10249,464,17.14,"ANF","0.15",215,10034,21.625,"EXP 1","GSH1",75.4893404812367,53.8594736931689
"C6",28.6464285714286,15,"D",4,571,11771,430,20.61,"ANF","0.62",147,11624,27.0325581395349,"EXP 1","GSH1",94.3662421028521,53.149346476579
"C6",28.6464285714286,16,"E",4,504,12424,388,24.65,"ANF","1.2",161,12263,31.6056701030928,"EXP 1","GSH1",110.330228510983,48.3651573079312
"C6",28.6464285714286,17,"F",4,237,1290,183,5.443,"ANF","3",98,1192,6.51366120218579,"EXP 1","GSH1",22.7381266252589,20.744208950777
"C6",28.6464285714286,18,"G",4,663,4884,556,7.367,"ANF","5",104,4780,8.59712230215827,"EXP 1","GSH1",30.011148791975,14.038363725096
"C67",31.1428571428571,37,"B",8,765,16725,525,21.86,"ANF","0",375,16350,31.1428571428571,"EXP 1","GSH1",100,100
"C67",31.1428571428571,38,"C",8,739,12466,568,16.87,"ANF","0.15",215,12251,21.568661971831,"EXP 1","GSH1",69.2571714691822,42.4281218649696
"C67",31.1428571428571,39,"D",8,693,12485,599,18.02,"ANF","0.62",147,12338,20.5976627712855,"EXP 1","GSH1",66.1392841279811,47.7370549418711
"C67",31.1428571428571,40,"E",8,743,11876,599,15.98,"ANF","1.2",161,11715,19.5575959933222,"EXP 1","GSH1",62.7996201620439,35.1595940309789
"C67",31.1428571428571,41,"F",8,877,7375,730,8.409,"ANF","3",98,7277,9.96849315068493,"EXP 1","GSH1",32.008922960915,19.3381774625679
"C67",31.1428571428571,42,"G",8,1003,10006,879,9.976,"ANF","5",104,9902,11.2650739476678,"EXP 1","GSH1",36.1722557952636,13.6059890931818
"C67p",15.6893353941267,259,"G",5,1786,10003,897,11.15,"ANF","5",409,9594,10.695652173913,"EXP 1","PGPA",68.1714802139861,37.7008479863872
"C67p",15.6893353941267,260,"F",5,1929,6948,818,8.494,"ANF","3",405,6543,7.99877750611247,"EXP 1","PGPA",50.9822583632625,51.2310937518564
"C67p",15.6893353941267,261,"E",5,1888,5020,682,7.361,"ANF","1.2",383,4637,6.79912023460411,"EXP 1","PGPA",43.3359352949352,58.1756856780522
"C67p",15.6893353941267,262,"D",5,2218,5623,787,7.145,"ANF","0.62",337,5286,6.71664548919949,"EXP 1","PGPA",42.8102613684571,64.4944686867293
"C67p",15.6893353941267,263,"C",5,1963,15536,1256,12.37,"ANF","0.15",1139,14397,11.4625796178344,"EXP 1","PGPA",73.0596888261144,67.3971388562914
"C67p",15.6893353941267,264,"B",5,847,10522,647,16.26,"ANF","0",371,10151,15.6893353941267,"EXP 1","PGPA",100,100
"C68",21.623595505618,265,"B",6,257,4220,178,23.71,"ANF","0",371,3849,21.623595505618,"EXP 1","PGPA",100,100
"C68",21.623595505618,266,"C",6,815,11716,585,20.03,"ANF","0.15",1139,10577,18.0803418803419,"EXP 1","PGPA",83.6139479007757,975.066655368435
"C68",21.623595505618,267,"D",6,2166,6872,1016,6.764,"ANF","0.62",337,6535,6.43208661417323,"EXP 1","PGPA",29.7456850434615,587.038187958899
"C68",21.623595505618,268,"E",6,2547,12795,1334,9.591,"ANF","1.2",383,12412,9.30434782608696,"EXP 1","PGPA",43.0286805155489,779.608734172128
"C68",21.623595505618,269,"F",6,2288,7241,1118,6.477,"ANF","3",405,6836,6.11449016100179,"EXP 1","PGPA",28.276935532822,476.090243420776
