"pop","Cntrl_ama_per_cell","X","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","n_amas.y","corrected_ama","ama_per_cell","experiment","gene","viability","mean_value"
"C44",26.5404255319149,25,"B",6,900,19231,705,21.37,"SbIII","0",520,18711,26.5404255319149,"EXP 1","GSH1",100,100
"C44",26.5404255319149,26,"C",6,869,16735,715,19.26,"SbIII","10",405,16330,22.8391608391608,"EXP 1","GSH1",86.0542375693889,107.283779099179
"C44",26.5404255319149,27,"D",6,566,7550,428,13.34,"SbIII","25",264,7286,17.0233644859813,"EXP 1","GSH1",64.1412642970275,53.8864480624741
"C44",26.5404255319149,28,"E",6,507,5725,366,11.29,"SbIII","35",206,5519,15.0792349726776,"EXP 1","GSH1",56.8161009873214,58.6779966508489
"C44",26.5404255319149,29,"F",6,378,2574,236,6.81,"SbIII","65",95,2479,10.5042372881356,"EXP 1","GSH1",39.5782549737352,33.1028144047687
"C44",26.5404255319149,30,"G",6,339,585,142,1.726,"SbIII","100",67,518,3.64788732394366,"EXP 1","GSH1",13.7446452000443,9.82031872123397
"C58",22.6265560165975,31,"G",7,473,1095,196,2.315,"SbIII","100",67,1028,5.24489795918367,"EXP 1","GSH1",23.180275227641,28.1502240253488
"C58",22.6265560165975,32,"F",7,315,1544,185,4.902,"SbIII","65",95,1449,7.83243243243243,"EXP 1","GSH1",34.6161051937689,36.1677638093808
"C58",22.6265560165975,33,"E",7,539,3738,381,6.935,"SbIII","35",206,3532,9.27034120734908,"EXP 1","GSH1",40.9710660365144,50.6867897183699
"C58",22.6265560165975,34,"D",7,455,6416,361,14.1,"SbIII","25",264,6152,17.0415512465374,"EXP 1","GSH1",75.3165936258117,61.6337205978282
"C58",22.6265560165975,35,"C",7,843,14052,635,16.67,"SbIII","10",405,13647,21.4913385826772,"EXP 1","GSH1",94.9828094338017,100.229294385684
"C58",22.6265560165975,36,"B",7,958,16879,723,17.62,"SbIII","0",520,16359,22.6265560165975,"EXP 1","GSH1",100,100
"C6",33.0379146919431,13,"B",4,750,21433,633,28.58,"SbIII","0",520,20913,33.0379146919431,"EXP 1","GSH1",100,100
"C6",33.0379146919431,14,"C",4,819,17927,665,21.89,"SbIII","10",405,17522,26.3488721804511,"EXP 1","GSH1",79.7534360934613,98.747977836767
"C6",33.0379146919431,15,"D",4,662,11407,521,17.23,"SbIII","25",264,11143,21.3877159309021,"EXP 1","GSH1",64.7368822467415,69.3613967412365
"C6",33.0379146919431,16,"E",4,486,6401,346,13.17,"SbIII","35",206,6195,17.9046242774566,"EXP 1","GSH1",54.1941718913118,45.0157012966169
"C6",33.0379146919431,17,"F",4,332,2444,221,7.361,"SbIII","65",95,2349,10.6289592760181,"EXP 1","GSH1",32.1720041204966,26.4801746964878
"C6",33.0379146919431,18,"G",4,339,1089,168,3.212,"SbIII","100",67,1022,6.08333333333333,"EXP 1","GSH1",18.4131879692058,13.3135450532102
"C67",23.6558441558442,37,"B",8,1017,18735,770,18.42,"SbIII","0",520,18215,23.6558441558442,"EXP 1","GSH1",100,100
"C67",23.6558441558442,38,"C",8,803,16184,662,20.15,"SbIII","10",405,15779,23.8353474320242,"EXP 1","GSH1",100.758811543555,106.245398516653
"C67",23.6558441558442,39,"D",8,457,3732,331,8.166,"SbIII","25",264,3468,10.4773413897281,"EXP 1","GSH1",44.2907102393117,68.3096332750762
"C67",23.6558441558442,40,"E",8,528,3457,359,6.547,"SbIII","35",206,3251,9.05571030640668,"EXP 1","GSH1",38.2810701945272,45.4223259419144
"C67",23.6558441558442,41,"F",8,330,1200,173,3.636,"SbIII","65",95,1105,6.38728323699422,"EXP 1","GSH1",27.0008679247079,42.3043269543285
"C67",23.6558441558442,42,"G",8,262,489,110,1.866,"SbIII","100",67,422,3.83636363636364,"EXP 1","GSH1",16.2174032390887,26.5499856561878
"C67p",12.9313725490196,259,"G",5,432,298,131,2.275,"SbIII","100",56,242,1.84732824427481,"EXP 1","PGPA",14.2856316084936,26.2964125225388
"C67p",12.9313725490196,260,"F",5,402,484,189,2.561,"SbIII","65",335,149,0.788359788359788,"EXP 1","PGPA",6.09648964463218,34.2922503090753
"C67p",12.9313725490196,261,"E",5,303,444,133,3.338,"SbIII","35",109,335,2.5187969924812,"EXP 1","PGPA",19.4781875081943,52.0079178122888
"C67p",12.9313725490196,262,"D",5,613,1847,323,5.718,"SbIII","25",95,1752,5.42414860681115,"EXP 1","PGPA",41.9456526076374,78.6336719798035
"C67p",12.9313725490196,263,"C",5,1684,11377,1158,9.825,"SbIII","10",235,11142,9.62176165803109,"EXP 1","PGPA",74.4063448915218,94.5211707490702
"C67p",12.9313725490196,264,"B",5,1364,11972,918,13.04,"SbIII","0",101,11871,12.9313725490196,"EXP 1","PGPA",100,100
"C68",14.3,265,"B",6,978,10397,720,14.44,"SbIII","0",101,10296,14.3,"EXP 1","PGPA",100,100
"C68",14.3,266,"C",6,1006,9309,743,12.53,"SbIII","10",235,9074,12.2126514131898,"EXP 1","PGPA",85.403156735593,99.668032681507
"C68",14.3,267,"D",6,629,1821,342,5.325,"SbIII","25",95,1726,5.04678362573099,"EXP 1","PGPA",35.29219318693,73.1663699956563
"C68",14.3,268,"E",6,405,575,167,3.443,"SbIII","35",109,466,2.79041916167665,"EXP 1","PGPA",19.5134207110255,49.2379786457763
"C68",14.3,269,"F",6,312,488,159,3.069,"SbIII","65",335,153,0.962264150943396,"EXP 1","PGPA",6.7291199366671,23.3430171142306
"C68",14.3,270,"G",6,181,189,76,2.487,"SbIII","100",56,133,1.75,"EXP 1","PGPA",12.2377622377622,32.7685033710961
"C7",26.7518573551263,19,"G",5,434,1491,251,3.435,"SbIII","100",67,1424,5.67330677290837,"EXP 1","GSH1",21.2071509562727,14.4510373956683
"C7",26.7518573551263,20,"F",5,431,2945,286,6.833,"SbIII","65",95,2850,9.96503496503496,"EXP 1","GSH1",37.2498807568792,27.9354563594141
"C7",26.7518573551263,21,"E",5,470,4708,357,10.02,"SbIII","35",206,4502,12.6106442577031,"EXP 1","GSH1",47.1393222919028,64.1331458650449
"C7",26.7518573551263,22,"D",5,720,14700,616,20.42,"SbIII","25",264,14436,23.4350649350649,"EXP 1","GSH1",87.6016368656892,100.872763386628
"C7",26.7518573551263,23,"C",5,813,18910,642,23.26,"SbIII","10",405,18505,28.8239875389408,"EXP 1","GSH1",107.745743244319,105.194337651041
"C7",26.7518573551263,24,"B",5,821,18524,673,22.56,"SbIII","0",520,18004,26.7518573551263,"EXP 1","GSH1",100,100
"C73",30.1916859122402,43,"G",9,457,807,182,1.766,"SbIII","100",67,740,4.06593406593407,"EXP 1","GSH1",13.4670653296829,16.7204860815098
"C73",30.1916859122402,44,"F",9,307,1699,205,5.534,"SbIII","65",95,1604,7.82439024390244,"EXP 1","GSH1",25.9157115857856,20.8404511056236
"C73",30.1916859122402,45,"E",9,450,6489,328,14.42,"SbIII","35",206,6283,19.155487804878,"EXP 1","GSH1",63.4462343724636,51.2230425582754
"C73",30.1916859122402,46,"D",9,605,10309,492,17.04,"SbIII","25",264,10045,20.4166666666667,"EXP 1","GSH1",67.6234733165048,62.9036591586644
"C73",30.1916859122402,47,"C",9,803,22915,675,28.54,"SbIII","10",405,22510,33.3481481481481,"EXP 1","GSH1",110.454739907811,100.053010259564
"C73",30.1916859122402,48,"B",9,1077,26666,866,24.76,"SbIII","0",520,26146,30.1916859122402,"EXP 1","GSH1",100,100
"C76",17.850864999473,49,"B",10,825,18339,716,22.23,"SbIII","0",520,17819,24.8868715083799,"EXP 1","GSH1",139.415493361889,100
"C76",17.850864999473,50,"C",10,742,23339,661,31.45,"SbIII","10",405,22934,34.695915279879,"EXP 1","GSH1",194.365456693014,101.122223296293
"C76",17.850864999473,51,"D",10,600,11554,509,19.26,"SbIII","25",264,11290,22.180746561886,"EXP 1","GSH1",124.255864141827,93.2565369389539
"C76",17.850864999473,52,"E",10,724,8969,578,12.39,"SbIII","35",206,8763,15.1608996539792,"EXP 1","GSH1",84.9308963707183,67.668785925818
"C76",17.850864999473,53,"F",10,386,3533,257,9.153,"SbIII","65",95,3438,13.3774319066148,"EXP 1","GSH1",74.9399645732001,38.7480964647074
"C76",17.850864999473,54,"G",10,347,948,201,2.732,"SbIII","100",67,881,4.38308457711443,"EXP 1","GSH1",24.5539058036899,14.5050269923466
"C76",17.850864999473,253,"B",4,1250,9272,848,10.93,"SbIII","0",101,9171,10.814858490566,"EXP 1","PGPA",60.5845066381114,100
"C76",17.850864999473,254,"C",4,1547,12026,1114,10.8,"SbIII","10",235,11791,10.5843806104129,"EXP 1","PGPA",59.2933765995396,101.122223296293
"C76",17.850864999473,255,"D",4,846,6561,540,12.15,"SbIII","25",95,6466,11.9740740740741,"EXP 1","PGPA",67.0783968980082,93.2565369389539
"C76",17.850864999473,256,"E",4,347,849,176,4.824,"SbIII","35",109,740,4.20454545454545,"EXP 1","PGPA",23.5537350972605,67.668785925818
"C76",17.850864999473,257,"F",4,169,285,98,2.908,"SbIII","65",335,0,0,"EXP 1","PGPA",0,38.7480964647074
"C76",17.850864999473,258,"G",4,136,39,23,1.696,"SbIII","100",56,0,0,"EXP 1","PGPA",0,14.5050269923466
"C85",30.9267676767677,55,"G",11,467,2004,214,4.291,"SbIII","100",67,1937,9.05140186915888,"EXP 1","GSH1",29.2672094405725,28.4964082313368
"C85",30.9267676767677,56,"F",11,432,3656,243,8.463,"SbIII","65",95,3561,14.6543209876543,"EXP 1","GSH1",47.3839398310696,46.2127963729697
"C85",30.9267676767677,57,"E",11,651,7398,460,11.36,"SbIII","35",206,7192,15.6347826086957,"EXP 1","GSH1",50.5542084840654,62.6584153793343
"C85",30.9267676767677,58,"D",11,656,7064,479,10.77,"SbIII","25",264,6800,14.19624217119,"EXP 1","GSH1",45.9027672065913,68.2112941824814
"C85",30.9267676767677,59,"C",11,985,11730,667,11.91,"SbIII","10",405,11325,16.9790104947526,"EXP 1","GSH1",54.9006953206665,86.6486777986216
"C85",30.9267676767677,60,"B",11,1010,25014,792,24.77,"SbIII","0",520,24494,30.9267676767677,"EXP 1","GSH1",100,100
"REF",13.5450618292591,7,"G",3,329,665,121,2.021,"SbIII","100",67,598,4.94214876033058,"EXP 1","GSH1",36.4867198291772,27.7542312933348
"REF",13.5450618292591,8,"F",3,291,1293,167,4.443,"SbIII","65",95,1198,7.17365269461078,"EXP 1","GSH1",52.9613875893485,38.0217090780054
"REF",13.5450618292591,9,"E",3,384,2953,234,7.69,"SbIII","35",206,2747,11.7393162393162,"EXP 1","GSH1",86.6686057789547,66.6466181026712
"REF",13.5450618292591,10,"D",3,652,6646,429,10.19,"SbIII","25",264,6382,14.8764568764569,"EXP 1","GSH1",109.829375930362,84.3496694217327
"REF",13.5450618292591,11,"C",3,797,10315,573,12.94,"SbIII","10",405,9910,17.2949389179756,"EXP 1","GSH1",127.684459000522,106.563927811704
"REF",13.5450618292591,12,"B",3,1002,11790,698,11.77,"SbIII","0",520,11270,16.1461318051576,"EXP 1","GSH1",119.203086768345,100
"REF",13.5450618292591,247,"G",3,89,20,12,1.667,"SbIII","100",56,0,0,"EXP 1","PGPA",0,27.7542312933348
"REF",13.5450618292591,248,"F",3,83,20,14,1.429,"SbIII","65",335,0,0,"EXP 1","PGPA",0,38.0217090780054
"REF",13.5450618292591,249,"E",3,771,3057,440,6.948,"SbIII","35",109,2948,6.7,"EXP 1","PGPA",49.4645213470133,66.6466181026712
"REF",13.5450618292591,250,"D",3,1016,9067,656,13.82,"SbIII","25",95,8972,13.6768292682927,"EXP 1","PGPA",100.972807955361,84.3496694217327
"REF",13.5450618292591,251,"C",3,990,8424,666,12.65,"SbIII","10",235,8189,12.2957957957958,"EXP 1","PGPA",90.7769632268147,106.563927811704
"REF",13.5450618292591,252,"B",3,1378,10848,982,11.05,"SbIII","0",101,10747,10.9439918533605,"EXP 1","PGPA",80.7969132316553,100
"C44",8.2,73,"B",4,216,1070,130,4.954,"SbIII","0",4,1066,8.2,"EXP 2","GSH1",100,100
"C44",8.2,74,"C",4,118,424,51,3.593,"SbIII","10",3,421,8.25490196078431,"EXP 2","GSH1",100.669536107126,107.283779099179
"C44",8.2,75,"D",4,68,129,32,1.897,"SbIII","25",6,123,3.84375,"EXP 2","GSH1",46.875,53.8864480624741
"C44",8.2,76,"E",4,91,181,45,1.989,"SbIII","35",7,174,3.86666666666667,"EXP 2","GSH1",47.1544715447155,58.6779966508489
"C44",8.2,77,"F",4,62,33,19,0.5323,"SbIII","65",1,32,1.68421052631579,"EXP 2","GSH1",20.5391527599487,33.1028144047687
"C44",8.2,78,"G",4,31,15,10,0.4839,"SbIII","100",3,12,1.2,"EXP 2","GSH1",14.6341463414634,9.82031872123397
"C58",6.54761904761905,85,"B",6,153,554,84,3.621,"SbIII","0",4,550,6.54761904761905,"EXP 2","GSH1",100,100
"C58",6.54761904761905,86,"C",6,114,507,74,4.447,"SbIII","10",3,504,6.81081081081081,"EXP 2","GSH1",104.019656019656,100.229294385684
"C58",6.54761904761905,87,"D",6,56,20,11,0.3571,"SbIII","25",6,14,1.27272727272727,"EXP 2","GSH1",19.4380165289256,61.6337205978282
"C58",6.54761904761905,88,"E",6,79,94,30,1.19,"SbIII","35",7,87,2.9,"EXP 2","GSH1",44.2909090909091,50.6867897183699
"C58",6.54761904761905,89,"F",6,58,45,14,0.7759,"SbIII","65",1,44,3.14285714285714,"EXP 2","GSH1",47.9999999999999,36.1677638093808
"C58",6.54761904761905,90,"G",6,25,14,6,0.56,"SbIII","100",3,11,1.83333333333333,"EXP 2","GSH1",27.9999999999999,28.1502240253488
"C6",19.1935483870968,79,"G",5,43,24,14,0.5581,"SbIII","100",3,21,1.5,"EXP 2","GSH1",7.81512605042016,13.3135450532102
"C6",19.1935483870968,80,"F",5,31,20,6,0.6452,"SbIII","65",1,19,3.16666666666667,"EXP 2","GSH1",16.4985994397759,26.4801746964878
"C6",19.1935483870968,81,"E",5,40,110,23,2.75,"SbIII","35",7,103,4.47826086956522,"EXP 2","GSH1",23.3321154548776,45.0157012966169
"C6",19.1935483870968,82,"D",5,90,309,55,3.433,"SbIII","25",6,303,5.50909090909091,"EXP 2","GSH1",28.7028265851795,69.3613967412365
"C6",19.1935483870968,83,"C",5,173,2081,139,12.03,"SbIII","10",3,2078,14.9496402877698,"EXP 2","GSH1",77.8888821715736,98.747977836767
"C6",19.1935483870968,84,"B",5,221,3574,186,16.17,"SbIII","0",4,3570,19.1935483870968,"EXP 2","GSH1",100,100
"C67",8.83552631578947,97,"B",8,221,1347,152,6.095,"SbIII","0",4,1343,8.83552631578947,"EXP 2","GSH1",100,100
"C67",8.83552631578947,98,"C",8,148,1123,104,7.588,"SbIII","10",3,1120,10.7692307692308,"EXP 2","GSH1",121.885560455926,106.245398516653
"C67",8.83552631578947,99,"D",8,33,114,17,3.455,"SbIII","25",6,108,6.35294117647059,"EXP 2","GSH1",71.902238184924,68.3096332750762
"C67",8.83552631578947,100,"E",8,65,169,35,2.6,"SbIII","35",7,162,4.62857142857143,"EXP 2","GSH1",52.3859163918732,45.4223259419144
"C67",8.83552631578947,101,"F",8,45,17,7,0.3778,"SbIII","65",1,16,2.28571428571429,"EXP 2","GSH1",25.8695883416658,42.3043269543285
"C67",8.83552631578947,102,"G",8,78,37,19,0.4744,"SbIII","100",3,34,1.78947368421053,"EXP 2","GSH1",20.2531645569621,26.5499856561878
"C67p",6.53302162478083,289,"G",5,481,1447,318,4.55,"SbIII","100",215,1232,3.87421383647799,"EXP 2","PGPA",59.3020207032908,26.2964125225388
"C67p",6.53302162478083,290,"F",5,297,1162,208,5.587,"SbIII","65",618,544,2.61538461538462,"EXP 2","PGPA",40.0333071830657,34.2922503090753
"C67p",6.53302162478083,291,"E",5,710,2284,495,4.614,"SbIII","35",260,2024,4.08888888888889,"EXP 2","PGPA",62.5880201188843,52.0079178122888
"C67p",6.53302162478083,292,"D",5,1127,5491,848,6.475,"SbIII","25",451,5040,5.94339622641509,"EXP 2","PGPA",90.9746908516391,78.6336719798035
"C67p",6.53302162478083,293,"C",5,1621,9716,1171,8.297,"SbIII","10",365,9351,7.98548249359522,"EXP 2","PGPA",122.232604638946,94.5211707490702
"C67p",6.53302162478083,294,"B",5,2304,11457,1711,6.696,"SbIII","0",279,11178,6.53302162478083,"EXP 2","PGPA",100,100
"C68",6.93109540636042,295,"B",6,2073,8125,1132,7.178,"SbIII","0",279,7846,6.93109540636042,"EXP 2","PGPA",100,100
"C68",6.93109540636042,296,"C",6,2352,10231,1403,7.292,"SbIII","10",365,9866,7.03207412687099,"EXP 2","PGPA",101.45689410678,99.668032681507
"C68",6.93109540636042,297,"D",6,1913,4431,1050,4.22,"SbIII","25",451,3980,3.79047619047619,"EXP 2","PGPA",54.6879817438064,73.1663699956563
"C68",6.93109540636042,298,"E",6,594,989,313,3.16,"SbIII","35",260,729,2.32907348242811,"EXP 2","PGPA",33.6032523847645,49.2379786457763
"C68",6.93109540636042,299,"F",6,324,851,213,3.995,"SbIII","65",618,233,1.09389671361502,"EXP 2","PGPA",15.7824506731099,23.3430171142306
"C68",6.93109540636042,300,"G",6,380,798,234,3.41,"SbIII","100",215,583,2.49145299145299,"EXP 2","PGPA",35.9460207280753,32.7685033710961
"C7",12.0098039215686,103,"G",9,56,36,13,0.6429,"SbIII","100",3,33,2.53846153846154,"EXP 2","GSH1",21.1365777080063,14.4510373956683
"C7",12.0098039215686,104,"F",9,66,138,31,2.091,"SbIII","65",1,137,4.41935483870968,"EXP 2","GSH1",36.7978933508888,27.9354563594141
"C7",12.0098039215686,105,"E",9,94,239,51,2.543,"SbIII","35",7,232,4.54901960784314,"EXP 2","GSH1",37.8775510204083,64.1331458650449
"C7",12.0098039215686,106,"D",9,156,1099,112,7.045,"SbIII","25",6,1093,9.75892857142857,"EXP 2","GSH1",81.2580174927115,100.872763386628
"C7",12.0098039215686,107,"C",9,176,1526,124,8.67,"SbIII","10",3,1523,12.2822580645161,"EXP 2","GSH1",102.268597761685,105.194337651041
"C7",12.0098039215686,108,"B",9,294,2454,204,8.347,"SbIII","0",4,2450,12.0098039215686,"EXP 2","GSH1",100,100
"C73",11.702380952381,109,"B",10,231,1970,168,8.528,"SbIII","0",4,1966,11.702380952381,"EXP 2","GSH1",100,100
"C73",11.702380952381,110,"C",10,115,591,83,5.139,"SbIII","10",3,588,7.08433734939759,"EXP 2","GSH1",60.5375724668764,100.053010259564
