"","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","pop","n_amas.y","corrected_ama","ama_per_cell","experiment","gene"
"1","B",2,680,520,272,0.7647,"SbIII",0,"THP-1",520,0,0,"EXP 1","GSH1"
"2","C",2,594,405,233,0.6818,"SbIII",10,"THP-1",405,0,0,"EXP 1","GSH1"
"3","D",2,482,264,147,0.5477,"SbIII",25,"THP-1",264,0,0,"EXP 1","GSH1"
"4","E",2,402,206,112,0.5124,"SbIII",35,"THP-1",206,0,0,"EXP 1","GSH1"
"5","F",2,398,95,39,0.2387,"SbIII",65,"THP-1",95,0,0,"EXP 1","GSH1"
"6","G",2,451,67,41,0.1486,"SbIII",100,"THP-1",67,0,0,"EXP 1","GSH1"
"7","G",3,329,665,121,2.021,"SbIII",100,"REF",67,598,4.94214876033058,"EXP 1","GSH1"
"8","F",3,291,1293,167,4.443,"SbIII",65,"REF",95,1198,7.17365269461078,"EXP 1","GSH1"
"9","E",3,384,2953,234,7.69,"SbIII",35,"REF",206,2747,11.7393162393162,"EXP 1","GSH1"
"10","D",3,652,6646,429,10.19,"SbIII",25,"REF",264,6382,14.8764568764569,"EXP 1","GSH1"
"11","C",3,797,10315,573,12.94,"SbIII",10,"REF",405,9910,17.2949389179756,"EXP 1","GSH1"
"12","B",3,1002,11790,698,11.77,"SbIII",0,"REF",520,11270,16.1461318051576,"EXP 1","GSH1"
"13","B",4,750,21433,633,28.58,"SbIII",0,"C6",520,20913,33.0379146919431,"EXP 1","GSH1"
"14","C",4,819,17927,665,21.89,"SbIII",10,"C6",405,17522,26.3488721804511,"EXP 1","GSH1"
"15","D",4,662,11407,521,17.23,"SbIII",25,"C6",264,11143,21.3877159309021,"EXP 1","GSH1"
"16","E",4,486,6401,346,13.17,"SbIII",35,"C6",206,6195,17.9046242774566,"EXP 1","GSH1"
"17","F",4,332,2444,221,7.361,"SbIII",65,"C6",95,2349,10.6289592760181,"EXP 1","GSH1"
"18","G",4,339,1089,168,3.212,"SbIII",100,"C6",67,1022,6.08333333333333,"EXP 1","GSH1"
"19","G",5,434,1491,251,3.435,"SbIII",100,"C7",67,1424,5.67330677290837,"EXP 1","GSH1"
"20","F",5,431,2945,286,6.833,"SbIII",65,"C7",95,2850,9.96503496503496,"EXP 1","GSH1"
"21","E",5,470,4708,357,10.02,"SbIII",35,"C7",206,4502,12.6106442577031,"EXP 1","GSH1"
"22","D",5,720,14700,616,20.42,"SbIII",25,"C7",264,14436,23.4350649350649,"EXP 1","GSH1"
"23","C",5,813,18910,642,23.26,"SbIII",10,"C7",405,18505,28.8239875389408,"EXP 1","GSH1"
"24","B",5,821,18524,673,22.56,"SbIII",0,"C7",520,18004,26.7518573551263,"EXP 1","GSH1"
"25","B",6,900,19231,705,21.37,"SbIII",0,"C44",520,18711,26.5404255319149,"EXP 1","GSH1"
"26","C",6,869,16735,715,19.26,"SbIII",10,"C44",405,16330,22.8391608391608,"EXP 1","GSH1"
"27","D",6,566,7550,428,13.34,"SbIII",25,"C44",264,7286,17.0233644859813,"EXP 1","GSH1"
"28","E",6,507,5725,366,11.29,"SbIII",35,"C44",206,5519,15.0792349726776,"EXP 1","GSH1"
"29","F",6,378,2574,236,6.81,"SbIII",65,"C44",95,2479,10.5042372881356,"EXP 1","GSH1"
"30","G",6,339,585,142,1.726,"SbIII",100,"C44",67,518,3.64788732394366,"EXP 1","GSH1"
"31","G",7,473,1095,196,2.315,"SbIII",100,"C58",67,1028,5.24489795918367,"EXP 1","GSH1"
"32","F",7,315,1544,185,4.902,"SbIII",65,"C58",95,1449,7.83243243243243,"EXP 1","GSH1"
"33","E",7,539,3738,381,6.935,"SbIII",35,"C58",206,3532,9.27034120734908,"EXP 1","GSH1"
"34","D",7,455,6416,361,14.1,"SbIII",25,"C58",264,6152,17.0415512465374,"EXP 1","GSH1"
"35","C",7,843,14052,635,16.67,"SbIII",10,"C58",405,13647,21.4913385826772,"EXP 1","GSH1"
"36","B",7,958,16879,723,17.62,"SbIII",0,"C58",520,16359,22.6265560165975,"EXP 1","GSH1"
"37","B",8,1017,18735,770,18.42,"SbIII",0,"C67",520,18215,23.6558441558442,"EXP 1","GSH1"
"38","C",8,803,16184,662,20.15,"SbIII",10,"C67",405,15779,23.8353474320242,"EXP 1","GSH1"
"39","D",8,457,3732,331,8.166,"SbIII",25,"C67",264,3468,10.4773413897281,"EXP 1","GSH1"
"40","E",8,528,3457,359,6.547,"SbIII",35,"C67",206,3251,9.05571030640668,"EXP 1","GSH1"
"41","F",8,330,1200,173,3.636,"SbIII",65,"C67",95,1105,6.38728323699422,"EXP 1","GSH1"
"42","G",8,262,489,110,1.866,"SbIII",100,"C67",67,422,3.83636363636364,"EXP 1","GSH1"
"43","G",9,457,807,182,1.766,"SbIII",100,"C73",67,740,4.06593406593407,"EXP 1","GSH1"
