row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,680,520,272,0.7647,SbIII,0,THP-1
C,2,594,405,233,0.6818,SbIII,10,THP-1
D,2,482,264,147,0.5477,SbIII,25,THP-1
E,2,402,206,112,0.5124,SbIII,35,THP-1
F,2,398,95,39,0.2387,SbIII,65,THP-1
G,2,451,67,41,0.1486,SbIII,100,THP-1
G,3,329,665,121,2.021,SbIII,100,REF
F,3,291,1293,167,4.443,SbIII,65,REF
E,3,384,2953,234,7.69,SbIII,35,REF
D,3,652,6646,429,10.19,SbIII,25,REF
C,3,797,10315,573,12.94,SbIII,10,REF
B,3,1002,11790,698,11.77,SbIII,0,REF
B,4,750,21433,633,28.58,SbIII,0,C6
C,4,819,17927,665,21.89,SbIII,10,C6
D,4,662,11407,521,17.23,SbIII,25,C6
E,4,486,6401,346,13.17,SbIII,35,C6
F,4,332,2444,221,7.361,SbIII,65,C6
G,4,339,1089,168,3.212,SbIII,100,C6
G,5,434,1491,251,3.435,SbIII,100,C7
F,5,431,2945,286,6.833,SbIII,65,C7
E,5,470,4708,357,10.02,SbIII,35,C7
D,5,720,14700,616,20.42,SbIII,25,C7
C,5,813,18910,642,23.26,SbIII,10,C7
B,5,821,18524,673,22.56,SbIII,0,C7
B,6,900,19231,705,21.37,SbIII,0,C44
C,6,869,16735,715,19.26,SbIII,10,C44
D,6,566,7550,428,13.34,SbIII,25,C44
E,6,507,5725,366,11.29,SbIII,35,C44
F,6,378,2574,236,6.81,SbIII,65,C44
G,6,339,585,142,1.726,SbIII,100,C44
G,7,473,1095,196,2.315,SbIII,100,C58
F,7,315,1544,185,4.902,SbIII,65,C58
E,7,539,3738,381,6.935,SbIII,35,C58
D,7,455,6416,361,14.1,SbIII,25,C58
C,7,843,14052,635,16.67,SbIII,10,C58
B,7,958,16879,723,17.62,SbIII,0,C58
B,8,1017,18735,770,18.42,SbIII,0,C67
C,8,803,16184,662,20.15,SbIII,10,C67
D,8,457,3732,331,8.166,SbIII,25,C67
E,8,528,3457,359,6.547,SbIII,35,C67
F,8,330,1200,173,3.636,SbIII,65,C67
G,8,262,489,110,1.866,SbIII,100,C67
G,9,457,807,182,1.766,SbIII,100,C73
F,9,307,1699,205,5.534,SbIII,65,C73
E,9,450,6489,328,14.42,SbIII,35,C73
D,9,605,10309,492,17.04,SbIII,25,C73
C,9,803,22915,675,28.54,SbIII,10,C73
B,9,1077,26666,866,24.76,SbIII,0,C73
B,10,825,18339,716,22.23,SbIII,0,C76
C,10,742,23339,661,31.45,SbIII,10,C76
D,10,600,11554,509,19.26,SbIII,25,C76
E,10,724,8969,578,12.39,SbIII,35,C76
F,10,386,3533,257,9.153,SbIII,65,C76
G,10,347,948,201,2.732,SbIII,100,C76
G,11,467,2004,214,4.291,SbIII,100,C85
F,11,432,3656,243,8.463,SbIII,65,C85
E,11,651,7398,460,11.36,SbIII,35,C85
D,11,656,7064,479,10.77,SbIII,25,C85
C,11,985,11730,667,11.91,SbIII,10,C85
B,11,1010,25014,792,24.77,SbIII,0,C85
