row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,1796,10754,1126,5.988,ANF,0,C7
C,2,2096,7732,1210,3.689,ANF,0.15,C7
D,2,1946,5767,850,2.964,ANF,0.62,C7
E,2,1672,2877,657,1.721,ANF,1.2,C7
F,2,1550,1165,468,0.7516,ANF,3,C7
G,2,1136,971,443,0.8548,ANF,5,C7
G,3,1911,1031,563,0.5395,ANF,5,C73
F,3,1823,1040,457,0.5705,ANF,3,C73
E,3,1783,1025,420,0.5749,ANF,1.2,C73
D,3,2094,2116,649,1.011,ANF,0.62,C73
C,3,2339,4000,928,1.71,ANF,0.15,C73
B,3,1997,11558,1275,5.788,ANF,0,C73
B,4,1790,8175,989,4.567,ANF,0,C76
C,4,1926,4663,961,2.421,ANF,0.15,C76
D,4,1777,3473,687,1.954,ANF,0.62,C76
E,4,1640,2956,712,1.802,ANF,1.2,C76
F,4,1739,3558,856,2.046,ANF,3,C76
G,4,1737,2919,886,1.68,ANF,5,C76
G,5,1563,1359,604,0.8695,ANF,5,C44
F,5,2093,1324,619,0.6326,ANF,3,C44
E,5,1679,1626,578,0.9684,ANF,1.2,C44
D,5,2168,2023,590,0.9331,ANF,0.62,C44
C,5,2050,4064,921,1.982,ANF,0.15,C44
B,5,1948,15993,1384,8.21,ANF,0,C44
B,6,2432,7704,1175,3.168,ANF,0,REF
C,6,2075,5281,1017,2.545,ANF,0.15,REF
D,6,1886,2931,759,1.554,ANF,0.62,REF
E,6,2047,2267,660,1.107,ANF,1.2,REF
F,6,2124,2418,839,1.138,ANF,3,REF
G,6,1882,1882,708,1,ANF,5,REF
G,7,1573,903,443,0.5741,ANF,5,C85
F,7,1919,1508,588,0.7858,ANF,3,C85
E,7,1926,2919,715,1.516,ANF,1.2,C85
D,7,1964,1945,601,0.9903,ANF,0.62,C85
C,7,2330,4163,898,1.787,ANF,0.15,C85
B,7,1906,14544,1287,7.631,ANF,0,C85
B,8,1656,583,316,0.3521,ANF,0,THP-1
C,8,1726,602,360,0.3488,ANF,0.15,THP-1
D,8,2053,364,234,0.1773,ANF,0.62,THP-1
E,8,1289,468,247,0.3631,ANF,1.2,THP-1
F,8,1689,273,172,0.1616,ANF,3,THP-1
G,8,1865,172,137,0.09223,ANF,5,THP-1
G,9,1541,2393,793,1.553,ANF,5,C6
F,9,1588,2949,889,1.857,ANF,3,C6
E,9,1469,1784,595,1.214,ANF,1.2,C6
D,9,2029,4166,813,2.053,ANF,0.62,C6
C,9,2353,6925,1291,2.943,ANF,0.15,C6
B,9,1640,21757,1273,13.27,ANF,0,C6
B,10,1868,15653,1391,8.38,ANF,0,C67
C,10,2124,2434,716,1.146,ANF,0.15,C67
D,10,2227,1650,537,0.7409,ANF,0.62,C67
E,10,1659,1153,479,0.695,ANF,1.2,C67
F,10,1351,1376,562,1.019,ANF,3,C67
G,10,898,537,283,0.598,ANF,5,C67
G,11,1676,665,373,0.3968,ANF,5,C58
F,11,1618,605,333,0.3739,ANF,3,C58
E,11,1263,524,269,0.4149,ANF,1.2,C58
D,11,1926,1303,449,0.6765,ANF,0.62,C58
C,11,1924,2261,653,1.175,ANF,0.15,C58
B,11,2001,10090,1210,5.042,ANF,0,C58
