row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,408,371,94,3.947,ANF,0,THP-1
C,2,1366,1139,296,3.848,ANF,0.15,THP-1
D,2,957,337,118,2.856,ANF,0.62,THP-1
E,2,1558,383,203,1.887,ANF,1.2,THP-1
F,2,1467,405,250,1.62,ANF,3,THP-1
G,2,1507,409,214,1.911,ANF,5,THP-1
G,3,2060,3385,786,4.307,ANF,5,REF
F,3,1386,4232,609,6.949,ANF,3,REF
E,3,2583,3987,778,5.125,ANF,1.2,REF
D,3,1924,4967,742,6.694,ANF,0.62,REF
C,3,1877,13527,1207,11.21,ANF,0.15,REF
B,3,1568,17859,1178,15.16,ANF,0,REF
B,4,777,12255,617,19.86,ANF,0,C76
C,4,1849,14620,1265,11.56,ANF,0.15,C76
D,4,2222,5522,870,6.347,ANF,0.62,C76
E,4,2145,7592,867,8.757,ANF,1.2,C76
F,4,2821,10093,1232,8.192,ANF,3,C76
G,4,2850,7084,1145,6.187,ANF,5,C76
G,5,1786,10003,897,11.15,ANF,5,C67p
F,5,1929,6948,818,8.494,ANF,3,C67p
E,5,1888,5020,682,7.361,ANF,1.2,C67p
D,5,2218,5623,787,7.145,ANF,0.62,C67p
C,5,1963,15536,1256,12.37,ANF,0.15,C67p
B,5,847,10522,647,16.26,ANF,0,C67p
B,6,257,4220,178,23.71,ANF,0,C68
C,6,815,11716,585,20.03,ANF,0.15,C68
D,6,2166,6872,1016,6.764,ANF,0.62,C68
E,6,2547,12795,1334,9.591,ANF,1.2,C68
F,6,2288,7241,1118,6.477,ANF,3,C68
G,6,2315,4988,1099,4.539,ANF,5,C68
