row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
G,7,2060,729,343,2.125,MILT,20,THP-1
F,7,1736,633,299,2.117,MILT,10,THP-1
E,7,1951,966,386,2.503,MILT,5,THP-1
D,7,1728,411,237,1.734,MILT,2.5,THP-1
C,7,1557,521,254,2.051,MILT,1.25,THP-1
B,7,2418,403,171,2.357,MILT,0,THP-1
B,8,1181,7654,791,9.676,MILT,0,REF
C,8,1479,13246,1068,12.4,MILT,1.25,REF
D,8,1768,15454,1264,12.23,MILT,2.5,REF
E,8,1675,14288,1209,11.82,MILT,5,REF
F,8,1742,14473,1244,11.63,MILT,10,REF
G,8,2067,8230,1128,7.296,MILT,20,REF
G,9,2039,14914,1341,11.12,MILT,20,C76
F,9,1769,11634,1210,9.615,MILT,10,C76
E,9,1452,16015,1073,14.93,MILT,5,C76
D,9,1558,13757,1112,12.37,MILT,2.5,C76
C,9,1154,11019,845,13.04,MILT,1.25,C76
B,9,1282,9853,882,11.17,MILT,0,C76
B,10,1184,7610,791,9.621,MILT,0,C67p
C,10,1211,9752,852,11.45,MILT,1.25,C67p
D,10,1295,11578,883,13.11,MILT,2.5,C67p
E,10,1794,12367,1253,9.87,MILT,5,C67p
F,10,1302,3749,682,5.497,MILT,10,C67p
G,10,1604,3794,778,4.877,MILT,20,C67p
G,11,2212,189,131,1.443,MILT,20,THP-1
F,11,2163,182,140,1.3,MILT,10,THP-1
E,11,2185,288,155,1.858,MILT,5,THP-1
D,11,2180,437,224,1.951,MILT,2.5,THP-1
C,11,2044,347,174,1.994,MILT,1.25,THP-1
B,11,2194,420,233,1.803,MILT,0,THP-1
