row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,1402,679,326,2.083,SbIII,0,THP-1
C,2,1327,443,221,2.005,SbIII,10,THP-1
D,2,1004,185,116,1.595,SbIII,25,THP-1
E,2,738,209,131,1.595,SbIII,35,THP-1
F,2,309,50,38,1.316,SbIII,65,THP-1
G,2,260,51,30,1.7,SbIII,100,THP-1
G,3,270,184,67,2.746,SbIII,100,REF
F,3,197,280,69,4.058,SbIII,65,REF
E,3,759,2215,397,5.579,SbIII,35,REF
D,3,811,3065,418,7.333,SbIII,25,REF
C,3,1429,4971,736,6.754,SbIII,10,REF
B,3,1587,7685,879,8.743,SbIII,0,REF
B,4,1589,7499,950,7.894,SbIII,0,C76
C,4,1632,7585,967,7.844,SbIII,10,C76
D,4,596,3080,338,9.112,SbIII,25,C76
E,4,614,2068,333,6.21,SbIII,35,C76
F,4,529,1290,232,5.56,SbIII,65,C76
G,4,166,60,36,1.667,SbIII,100,C76
G,5,209,70,40,1.75,SbIII,100,C67p
F,5,614,1377,261,5.276,SbIII,65,C67p
E,5,688,2780,388,7.165,SbIII,35,C67p
D,5,833,4826,503,9.594,SbIII,25,C67p
C,5,1182,6323,755,8.375,SbIII,10,C67p
B,5,1315,8438,866,9.744,SbIII,0,C67p
B,6,1671,6899,942,7.324,SbIII,0,C68
C,6,1632,7174,909,7.892,SbIII,10,C68
D,6,1100,5684,643,8.84,SbIII,25,C68
E,6,725,2695,398,6.771,SbIII,35,C68
F,6,538,643,189,3.402,SbIII,65,C68
G,6,471,468,126,3.714,SbIII,100,C68
