Display	Use for Z'	Row	Column	Timepoint	Celulas fora da borda - Number of Objects	Ama - Number of Objects	Celulas Infectadas - Number of Objects	Formula Output 2	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count
True		B	2	0	517	375	204	0.7253	13	0	x	0	THP-1	
True		C	2	0	369	215	122	0.5827	13	0	x	0.15	THP-1	
True		D	2	0	324	147	94	0.4537	13	0	x	0.62	THP-1	
True		E	2	0	533	161	92	0.3021	13	0	x	1.2	THP-1	
True		F	2	0	590	98	60	0.1661	13	0	x	3	THP-1	
True		G	2	0	637	104	54	0.1633	13	0	x	5	THP-1	
True		G	3	0	730	2667	534	3.653	13	0	ANF	20	REF	
True		F	3	0	861	1977	477	2.296	13	0	ANF	10	REF	
True		E	3	0	583	2441	390	4.187	13	0	ANF	5	REF	
True		D	3	0	924	4782	613	5.175	13	0	ANF	2.5	REF	
True		C	3	0	661	4907	408	7.424	13	0	ANF	1.25	REF	
True		B	3	0	841	6234	644	7.413	13	0	ANF	0	REF	
True		B	4	0	664	16417	560	24.72	13	0	ANF	0	C6	
True		C	4	0	598	10249	464	17.14	13	0	ANF	1.25	C6	
True		D	4	0	571	11771	430	20.61	13	0	ANF	2.5	C6	
True		E	4	0	504	12424	388	24.65	13	0	ANF	5	C6	
True		F	4	0	237	1290	183	5.443	13	0	ANF	10	C6	
True		G	4	0	663	4884	556	7.367	13	0	ANF	20	C6	
True		G	5	0	695	5908	602	8.501	13	0	ANF	20	C7	
True		F	5	0	740	12233	682	16.53	13	0	ANF	10	C7	
True		E	5	0	553	13131	477	23.75	13	0	ANF	5	C7	
True		D	5	0	654	12936	546	19.78	13	0	ANF	2.5	C7	
True		C	5	0	643	14107	560	21.94	13	0	ANF	1.25	C7	
True		B	5	0	593	15624	496	26.35	13	0	ANF	0	C7	
True		B	6	0	700	19526	580	27.89	13	0	ANF	0	C44	
True		C	6	0	623	6712	464	10.77	13	0	ANF	1.25	C44	
True		D	6	0	700	10198	539	14.57	13	0	ANF	2.5	C44	
True		E	6	0	538	5013	408	9.318	13	0	ANF	5	C44	
True		F	6	0	492	3218	400	6.541	13	0	ANF	10	C44	
True		G	6	0	526	2072	370	3.939	13	0	ANF	20	C44	
True		G	7	0	678	2559	494	3.774	13	0	ANF	20	C58	
True		F	7	0	623	2881	448	4.624	13	0	ANF	10	C58	
True		E	7	0	803	8813	645	10.98	13	0	ANF	5	C58	
True		D	7	0	730	10352	600	14.18	13	0	ANF	2.5	C58	
True		C	7	0	862	14641	659	16.98	13	0	ANF	1.25	C58	
True		B	7	0	536	8074	398	15.06	13	0	ANF	0	C58	
True		B	8	0	765	16725	525	21.86	13	0	ANF	0	C67	
True		C	8	0	739	12466	568	16.87	13	0	ANF	1.25	C67	
True		D	8	0	693	12485	599	18.02	13	0	ANF	2.5	C67	
True		E	8	0	743	11876	599	15.98	13	0	ANF	5	C67	
True		F	8	0	877	7375	730	8.409	13	0	ANF	10	C67	
True		G	8	0	1003	10006	879	9.976	13	0	ANF	20	C67	
True		G	9	0	733	601	287	0.8199	13	0	ANF	20	C73	
True		F	9	0	820	1127	389	1.374	13	0	ANF	10	C73	
True		E	9	0	673	2071	398	3.077	13	0	ANF	5	C73	
True		D	9	0	663	2020	362	3.047	13	0	ANF	2.5	C73	
True		C	9	0	559	3746	387	6.701	13	0	ANF	1.25	C73	
True		B	9	0	527	4331	321	8.218	13	0	ANF	0	C73	
True		B	10	0	826	11337	562	13.73	13	0	ANF	0	C89	
True		C	10	0	707	8584	469	12.14	13	0	ANF	1.25	C89	
True		D	10	0	788	4951	531	6.283	13	0	ANF	2.5	C89	
True		E	10	0	842	3484	558	4.138	13	0	ANF	5	C89	
True		F	10	0	980	2693	583	2.748	13	0	ANF	10	C89	
True		G	10	0	933	1092	422	1.17	13	0	ANF	20	C89	
True		G	11	0	684	2779	501	4.063	13	0	ANF	20	C85	
True		F	11	0	825	2589	521	3.138	13	0	ANF	10	C85	
True		E	11	0	743	4249	570	5.719	13	0	ANF	5	C85	
True		D	11	0	700	5120	535	7.314	13	0	ANF	2.5	C85	
True		C	11	0	603	7611	459	12.62	13	0	ANF	1.25	C85	
True		B	11	0	668	15352	515	22.98	13	0	ANF	0	C85	
