Display	Use for Z'	Row	Column	Timepoint	Celulas fora da borda - Number of Objects	Ama - Number of Objects	Celulas Infectadas - Number of Objects	Formula Output 2	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count
True		B	2	0	115	142	63	1.235	13	0	x	0	THP-1	
True		C	2	0	147	153	68	1.041	13	0	x	1.25	THP-1	
True		D	2	0	132	269	78	2.038	13	0	x	2.5	THP-1	
True		E	2	0	100	46	30	0.46	13	0	x	5	THP-1	
True		F	2	0	85	132	46	1.553	13	0	x	10	THP-1	
True		G	2	0	63	63	33	1	13	0	x	20	THP-1	
True		G	3	0	88	574	60	6.523	13	0	MILT	20	C76	
True		F	3	0	208	1627	159	7.822	13	0	MILT	10	C76	
True		E	3	0	217	1063	168	4.899	13	0	MILT	5	C76	
True		D	3	0	214	1613	172	7.537	13	0	MILT	2.5	C76	
True		C	3	0	241	3384	197	14.04	13	0	MILT	1.25	C76	
True		B	3	0	386	7824	307	20.27	13	0	MILT	0	C76	
True		B	4	0	348	5977	259	17.18	13	0	MILT	0	C44	
True		C	4	0	193	1390	155	7.202	13	0	MILT	1.25	C44	
True		D	4	0	292	2328	231	7.973	13	0	MILT	2.5	C44	
True		E	4	0	136	433	99	3.184	13	0	MILT	5	C44	
True		F	4	0	160	776	129	4.85	13	0	MILT	10	C44	
True		G	4	0	61	180	42	2.951	13	0	MILT	20	C44	
True		G	5	0	153	1134	135	7.412	13	0	MILT	20	C6	
True		F	5	0	154	1879	129	12.2	13	0	MILT	10	C6	
True		E	5	0	240	3695	210	15.4	13	0	MILT	5	C6	
True		D	5	0	226	3584	195	15.86	13	0	MILT	2.5	C6	
True		C	5	0	244	3337	213	13.68	13	0	MILT	1.25	C6	
True		B	5	0	265	5568	236	21.01	13	0	MILT	0	C6	
True		B	6	0	216	1409	153	6.523	13	0	MILT	0	C58	
True		C	6	0	233	1223	171	5.249	13	0	MILT	1.25	C58	
True		D	6	0	188	459	120	2.441	13	0	MILT	2.5	C58	
True		E	6	0	217	534	135	2.461	13	0	MILT	5	C58	
True		F	6	0	139	596	102	4.288	13	0	MILT	10	C58	
True		G	6	0	75	156	43	2.08	13	0	MILT	20	C58	
True		G	7	0	55	74	24	1.345	13	0	MILT	20	REF	
True		F	7	0	170	483	104	2.841	13	0	MILT	10	REF	
True		E	7	0	251	840	181	3.347	13	0	MILT	5	REF	
True		D	7	0	261	1220	176	4.674	13	0	MILT	2.5	REF	
True		C	7	0	280	1710	210	6.107	13	0	MILT	1.25	REF	
True		B	7	0	321	4928	232	15.35	13	0	MILT	0	REF	
True		B	8	0	361	4573	236	12.67	13	0	MILT	0	C67	
True		C	8	0	192	1153	148	6.005	13	0	MILT	1.25	C67	
True		D	8	0	198	541	125	2.732	13	0	MILT	2.5	C67	
True		E	8	0	213	686	154	3.221	13	0	MILT	5	C67	
True		F	8	0	118	364	82	3.085	13	0	MILT	10	C67	
True		G	8	0	104	518	78	4.981	13	0	MILT	20	C67	
True		G	9	0	92	311	70	3.38	13	0	MILT	20	C7	
True		F	9	0	120	211	67	1.758	13	0	MILT	10	C7	
True		E	9	0	182	568	121	3.121	13	0	MILT	5	C7	
True		D	9	0	159	850	118	5.346	13	0	MILT	2.5	C7	
True		C	9	0	160	984	116	6.15	13	0	MILT	1.25	C7	
True		B	9	0	239	2512	183	10.51	13	0	MILT	0	C7	
True		B	10	0	343	6896	252	20.1	13	0	MILT	0	C73	
True		C	10	0	256	1431	196	5.59	13	0	MILT	1.25	C73	
True		D	10	0	159	590	106	3.711	13	0	MILT	2.5	C73	
True		E	10	0	162	444	111	2.741	13	0	MILT	5	C73	
True		F	10	0	113	365	83	3.23	13	0	MILT	10	C73	
True		G	10	0	51	108	35	2.118	13	0	MILT	20	C73	
True		G	11	0	88	532	61	6.045	13	0	MILT	20	C85	
True		F	11	0	120	612	76	5.1	13	0	MILT	10	C85	
True		E	11	0	119	207	64	1.739	13	0	MILT	5	C85	
True		D	11	0	84	254	60	3.024	13	0	MILT	2.5	C85	
True		C	11	0	154	581	120	3.773	13	0	MILT	1.25	C85	
True		B	11	0	219	3405	190	15.55	12	0	MILT	0	C85	
