Display	Use for Z'	Row	Column	Timepoint	Celulas fora da borda - Number of Objects	Ama - Number of Objects	Celulas Infectadas - Number of Objects	Formula Output 2	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count
True		B	2	0	90	3	3	0.03333	13	0	x	0	THP-1	
True		C	2	0	112	3	2	0.02679	13	0	x	10	THP-1	
True		D	2	0	72	6	3	0.08333	13	0	x	25	THP-1	
True		E	2	0	53	7	5	0.1321	13	0	x	35	THP-1	
True		F	2	0	74	4	3	0.05405	13	0	x	65	THP-1	
True		G	2	0	37	4	3	0.1081	13	0	x	100	THP-1	
True		G	3	0	39	15	8	0.3846	13	0	SbIII	100	C76	
True		F	3	0	56	65	19	1.161	13	0	SbIII	65	C76	
True		E	3	0	32	41	10	1.281	13	0	SbIII	35	C76	
True		D	3	0	52	124	18	2.385	13	0	SbIII	25	C76	
True		C	3	0	107	534	66	4.991	13	0	SbIII	10	C76	
True		B	3	0	229	2044	166	8.926	13	0	SbIII	0	C76	
True		B	4	0	241	1127	143	4.676	13	0	SbIII	0	C44	
True		C	4	0	119	392	52	3.294	13	0	SbIII	10	C44	
True		D	4	0	62	96	27	1.548	13	0	SbIII	25	C44	
True		E	4	0	91	180	39	1.978	13	0	SbIII	35	C44	
True		F	4	0	52	38	11	0.7308	13	0	SbIII	65	C44	
True		G	4	0	28	22	11	0.7857	13	0	SbIII	100	C44	
True		G	5	0	43	39	16	0.907	13	0	SbIII	100	C6	
True		F	5	0	30	36	12	1.2	13	0	SbIII	65	C6	
True		E	5	0	39	154	23	3.949	13	0	SbIII	35	C6	
True		D	5	0	84	322	51	3.833	13	0	SbIII	25	C6	
True		C	5	0	183	1689	145	9.23	13	0	SbIII	10	C6	
True		B	5	0	220	3596	188	16.35	13	0	SbIII	0	C6	
True		B	6	0	152	457	79	3.007	13	0	SbIII	0	C58	
True		C	6	0	110	358	65	3.255	13	0	SbIII	10	C58	
True		D	6	0	54	65	22	1.204	13	0	SbIII	25	C58	
True		E	6	0	65	146	30	2.246	13	0	SbIII	35	C58	
True		F	6	0	53	28	11	0.5283	13	0	SbIII	65	C58	
True		G	6	0	25	26	7	1.04	13	0	SbIII	100	C58	
True		G	7	0	36	19	10	0.5278	13	0	SbIII	100	REF	
True		F	7	0	67	39	20	0.5821	13	0	SbIII	65	REF	
True		E	7	0	68	100	29	1.471	13	0	SbIII	35	REF	
True		D	7	0	95	185	50	1.947	13	0	SbIII	25	REF	
True		C	7	0	135	465	92	3.444	13	0	SbIII	10	REF	
True		B	7	0	214	1043	132	4.874	13	0	SbIII	0	REF	
True		B	8	0	219	1155	140	5.274	13	0	SbIII	0	C67	
True		C	8	0	153	1034	104	6.758	13	0	SbIII	10	C67	
True		D	8	0	32	85	15	2.656	13	0	SbIII	25	C67	
True		E	8	0	71	220	34	3.099	13	0	SbIII	35	C67	
True		F	8	0	43	14	6	0.3256	13	0	SbIII	65	C67	
True		G	8	0	72	36	17	0.5	13	0	SbIII	100	C67	
True		G	9	0	56	62	18	1.107	13	0	SbIII	100	C7	
True		F	9	0	61	163	29	2.672	13	0	SbIII	65	C7	
True		E	9	0	90	261	47	2.9	13	0	SbIII	35	C7	
True		D	9	0	160	1011	110	6.319	13	0	SbIII	25	C7	
True		C	9	0	182	1432	126	7.868	13	0	SbIII	10	C7	
True		B	9	0	300	2513	209	8.377	13	0	SbIII	0	C7	
True		B	10	0	238	1894	167	7.958	13	0	SbIII	0	C73	
True		C	10	0	118	485	87	4.11	13	0	SbIII	10	C73	
True		D	10	0	112	484	73	4.321	13	0	SbIII	25	C73	
True		E	10	0	105	252	49	2.4	13	0	SbIII	35	C73	
True		F	10	0	54	77	22	1.426	13	0	SbIII	65	C73	
True		G	10	0	49	94	22	1.918	13	0	SbIII	100	C73	
True		G	11	0	59	129	24	2.186	13	0	SbIII	100	C85	
True		F	11	0	93	470	59	5.054	13	0	SbIII	65	C85	
True		E	11	0	93	962	71	10.34	13	0	SbIII	35	C85	
True		D	11	0	183	2010	126	10.98	13	0	SbIII	25	C85	
True		C	11	0	216	2446	166	11.32	13	0	SbIII	10	C85	
True		B	11	0	242	6727	210	27.8	13	0	SbIII	0	C85	
