Display	Use for Z'	Row	Column	Timepoint	Celulas fora da borda - Number of Objects	Ama - Number of Objects	Celulas Infectadas - Number of Objects	Formula Output 2	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count
True		B	2	0	1402	13975	979	9.968	13	0	SbIII	0	C7	
True		C	2	0	1775	15992	1254	9.01	13	0	SbIII	1.6	C7	
True		D	2	0	1134	15985	811	14.1	13	0	SbIII	3.2	C7	
True		E	2	0	899	9828	653	10.93	13	0	SbIII	10	C7	
True		F	2	0	506	1614	278	3.19	13	0	SbIII	35	C7	
True		G	2	0	428	524	174	1.224	13	0	SbIII	100	C7	
True		G	3	0	175	227	76	1.297	13	0	SbIII	100	C73	
True		F	3	0	456	1430	258	3.136	13	0	SbIII	35	C73	
True		E	3	0	817	4420	523	5.41	13	0	SbIII	10	C73	
True		D	3	0	1023	4544	670	4.442	13	0	SbIII	3.2	C73	
True		C	3	0	1516	9937	1002	6.555	13	0	SbIII	1.6	C73	
True		B	3	0	1809	11435	1184	6.321	13	0	SbIII	0	C73	
True		B	4	0	2024	11776	1234	5.818	13	0	SbIII	0	C76	
True		C	4	0	2042	10733	1259	5.256	13	0	SbIII	1.6	C76	
True		D	4	0	1594	12671	1092	7.949	13	0	SbIII	3.2	C76	
True		E	4	0	816	5364	559	6.574	13	0	SbIII	10	C76	
True		F	4	0	516	1677	315	3.25	13	0	SbIII	35	C76	
True		G	4	0	394	542	185	1.376	13	0	SbIII	100	C76	
True		G	5	0	271	345	130	1.273	13	0	SbIII	100	C44	
True		F	5	0	482	1634	300	3.39	13	0	SbIII	35	C44	
True		E	5	0	781	4242	566	5.431	13	0	SbIII	10	C44	
True		D	5	0	1276	6685	920	5.239	13	0	SbIII	3.2	C44	
True		C	5	0	1818	15177	1372	8.348	13	0	SbIII	1.6	C44	
True		B	5	0	1922	11407	1305	5.935	13	0	SbIII	0	C44	
True		B	6	0	1664	8190	984	4.922	13	0	SbIII	0	REF	
True		C	6	0	1744	14512	1157	8.321	13	0	SbIII	1.6	REF	
True		D	6	0	1205	4771	760	3.959	13	0	SbIII	3.2	REF	
True		E	6	0	814	4057	553	4.984	13	0	SbIII	10	REF	
True		F	6	0	567	2577	391	4.545	13	0	SbIII	35	REF	
True		G	6	0	449	1247	249	2.777	13	0	SbIII	100	REF	
True		G	7	0	659	1984	389	3.011	13	0	SbIII	100	C85	
True		F	7	0	757	2804	527	3.704	13	0	SbIII	35	C85	
True		E	7	0	660	3242	467	4.912	13	0	SbIII	10	C85	
True		D	7	0	1539	7830	1025	5.088	13	0	SbIII	3.2	C85	
True		C	7	0	1968	11484	1227	5.835	13	0	SbIII	1.6	C85	
True		B	7	0	1825	9400	1120	5.151	13	0	SbIII	0	C85	
True		B	8	0	1289	358	230	0.2777	13	0	SbIII	0	THP-1	
True		C	8	0	1793	436	277	0.2432	13	0	SbIII	1.6	THP-1	
True		D	8	0	717	437	225	0.6095	13	0	SbIII	3.2	THP-1	
True		E	8	0	548	448	203	0.8175	13	0	SbIII	10	THP-1	
True		F	8	0	487	188	109	0.386	13	0	SbIII	35	THP-1	
True		G	8	0	425	225	117	0.5294	13	0	SbIII	100	THP-1	
True		G	9	0	328	993	187	3.027	13	0	SbIII	100	C6	
True		F	9	0	546	3517	392	6.441	13	0	SbIII	35	C6	
True		E	9	0	577	4741	443	8.217	13	0	SbIII	10	C6	
True		D	9	0	945	9165	695	9.698	13	0	SbIII	3.2	C6	
True		C	9	0	1430	20995	1120	14.68	13	0	SbIII	1.6	C6	
True		B	9	0	1297	15448	993	11.91	13	0	SbIII	0	C6	
True		B	10	0	1533	8470	1042	5.525	13	0	SbIII	0	C67	
True		C	10	0	1712	9444	1102	5.516	13	0	SbIII	1.6	C67	
True		D	10	0	1133	4801	770	4.237	13	0	SbIII	3.2	C67	
True		E	10	0	723	2834	475	3.92	13	0	SbIII	10	C67	
True		F	10	0	698	4073	512	5.835	13	0	SbIII	35	C67	
True		G	10	0	380	1122	240	2.953	13	0	SbIII	100	C67	
True		G	11	0	349	1011	217	2.897	13	0	SbIII	100	C58	
True		F	11	0	328	1062	222	3.238	13	0	SbIII	35	C58	
True		E	11	0	545	1856	344	3.406	13	0	SbIII	10	C58	
True		D	11	0	682	2142	393	3.141	13	0	SbIII	3.2	C58	
True		C	11	0	1384	5378	819	3.886	13	0	SbIII	1.6	C58	
True		B	11	0	1212	5907	794	4.874	13	0	SbIII	0	C58	
