"","row","column","n_celulas","n_amas","n_cels_infec","mean_ama_cel","n_cels_infec_percentual","composto","conc","pop","ama_noninf","corrected_ama","ama_per_cell"
"1","B",2,517,375,204,0.7253,13,"x",0,"THP-1",375,0,0
"2","C",2,369,215,122,0.5827,13,"x",0.15,"THP-1",215,0,0
"3","D",2,324,147,94,0.4537,13,"x",0.62,"THP-1",147,0,0
"4","E",2,533,161,92,0.3021,13,"x",1.2,"THP-1",161,0,0
"5","F",2,590,98,60,0.1661,13,"x",3,"THP-1",98,0,0
"6","G",2,637,104,54,0.1633,13,"x",5,"THP-1",104,0,0
"7","G",3,730,2667,534,3.653,13,"ANF",5,"REF",375,2292,3.13972602739726
"8","F",3,861,1977,477,2.296,13,"ANF",3,"REF",215,1762,2.04645760743322
"9","E",3,583,2441,390,4.187,13,"ANF",1.2,"REF",161,2280,3.91080617495712
"10","D",3,924,4782,613,5.175,13,"ANF",0.62,"REF",147,4635,5.01623376623377
"11","C",3,661,4907,408,7.424,13,"ANF",0.15,"REF",104,4803,7.26626323751891
"12","B",3,841,6234,644,7.413,13,"ANF",0,"REF",98,6136,7.29607609988109
"13","B",4,664,16417,560,24.72,13,"ANF",0,"C6",375,16042,24.1596385542169
"14","C",4,598,10249,464,17.14,13,"ANF",0.15,"C6",215,10034,16.7792642140468
"15","D",4,571,11771,430,20.61,13,"ANF",0.62,"C6",161,11610,20.3327495621716
"16","E",4,504,12424,388,24.65,13,"ANF",1.2,"C6",147,12277,24.359126984127
"17","F",4,237,1290,183,5.443,13,"ANF",3,"C6",104,1186,5.0042194092827
"18","G",4,663,4884,556,7.367,13,"ANF",5,"C6",98,4786,7.21870286576169
"19","G",5,695,5908,602,8.501,13,"ANF",5,"C7",375,5533,7.96115107913669
"20","F",5,740,12233,682,16.53,13,"ANF",3,"C7",215,12018,16.2405405405405
"21","E",5,553,13131,477,23.75,13,"ANF",1.2,"C7",161,12970,23.4538878842676
"22","D",5,654,12936,546,19.78,13,"ANF",0.62,"C7",147,12789,19.5550458715596
"23","C",5,643,14107,560,21.94,13,"ANF",0.15,"C7",104,14003,21.7776049766718
"24","B",5,593,15624,496,26.35,13,"ANF",0,"C7",98,15526,26.1821247892074
"25","B",6,700,19526,580,27.89,13,"ANF",0,"C44",375,19151,27.3585714285714
"26","C",6,623,6712,464,10.77,13,"ANF",0.15,"C44",215,6497,10.4285714285714
"27","D",6,700,10198,539,14.57,13,"ANF",0.62,"C44",161,10037,14.3385714285714
"28","E",6,538,5013,408,9.318,13,"ANF",1.2,"C44",147,4866,9.04460966542751
"29","F",6,492,3218,400,6.541,13,"ANF",3,"C44",104,3114,6.32926829268293
"30","G",6,526,2072,370,3.939,13,"ANF",5,"C44",98,1974,3.75285171102662
"31","G",7,678,2559,494,3.774,13,"ANF",5,"C58",375,2184,3.2212389380531
"32","F",7,623,2881,448,4.624,13,"ANF",3,"C58",215,2666,4.2792937399679
"33","E",7,803,8813,645,10.98,13,"ANF",1.2,"C58",161,8652,10.774595267746
"34","D",7,730,10352,600,14.18,13,"ANF",0.62,"C58",147,10205,13.9794520547945
"35","C",7,862,14641,659,16.98,13,"ANF",0.15,"C58",104,14537,16.8642691415313
"36","B",7,536,8074,398,15.06,13,"ANF",0,"C58",98,7976,14.8805970149254
"37","B",8,765,16725,525,21.86,13,"ANF",0,"C67",375,16350,21.3725490196078
"38","C",8,739,12466,568,16.87,13,"ANF",0.15,"C67",215,12251,16.5778078484438
"39","D",8,693,12485,599,18.02,13,"ANF",0.62,"C67",161,12324,17.7835497835498
"40","E",8,743,11876,599,15.98,13,"ANF",1.2,"C67",147,11729,15.78600269179
"41","F",8,877,7375,730,8.409,13,"ANF",3,"C67",104,7271,8.29076396807298
"42","G",8,1003,10006,879,9.976,13,"ANF",5,"C67",98,9908,9.87836490528415
"43","G",9,733,601,287,0.8199,13,"ANF",5,"C73",375,226,0.308321964529332
"44","F",9,820,1127,389,1.374,13,"ANF",3,"C73",215,912,1.11219512195122
"45","E",9,673,2071,398,3.077,13,"ANF",1.2,"C73",161,1910,2.83803863298663
"46","D",9,663,2020,362,3.047,13,"ANF",0.62,"C73",147,1873,2.82503770739065
"47","C",9,559,3746,387,6.701,13,"ANF",0.15,"C73",104,3642,6.51520572450805
"48","B",9,527,4331,321,8.218,13,"ANF",0,"C73",98,4233,8.03225806451613
"49","B",10,826,11337,562,13.73,13,"ANF",0,"C89",375,10962,13.271186440678
"50","C",10,707,8584,469,12.14,13,"ANF",0.15,"C89",215,8369,11.8373408769448
"51","D",10,788,4951,531,6.283,13,"ANF",0.62,"C89",161,4790,6.07868020304569
"52","E",10,842,3484,558,4.138,13,"ANF",1.2,"C89",147,3337,3.96318289786223
"53","F",10,980,2693,583,2.748,13,"ANF",3,"C89",104,2589,2.64183673469388
"54","G",10,933,1092,422,1.17,13,"ANF",5,"C89",98,994,1.06538049303323
"55","G",11,684,2779,501,4.063,13,"ANF",5,"C85",375,2404,3.51461988304094
"56","F",11,825,2589,521,3.138,13,"ANF",3,"C85",215,2374,2.87757575757576
"57","E",11,743,4249,570,5.719,13,"ANF",1.2,"C85",161,4088,5.50201884253028
"58","D",11,700,5120,535,7.314,13,"ANF",0.62,"C85",147,4973,7.10428571428571
"59","C",11,603,7611,459,12.62,13,"ANF",0.15,"C85",104,7507,12.4494195688226
"60","B",11,668,15352,515,22.98,13,"ANF",0,"C85",98,15254,22.8353293413174
