"","pop","conc","mean_value","sd_value"
"1","C44","0",6.88268190742685,3.99071046394695
"2","C44","10",8.08670072407346,4.71805393801222
"3","C44","25",3.76817526055403,1.90564933140404
"4","C44","35",4.24960599259895,1.60094522889981
"5","C44","65",2.17790739314655,1.54676485499223
"6","C44","100",0.471654405037069,0.436935445576985
"7","C58","0",5.46184497910378,3.00537058091723
"8","C58","10",6.2152371852873,3.56226397461116
"9","C58","25",4.03752463661,3.51061384893503
"10","C58","35",2.66933016074739,1.65891300803318
"11","C58","65",1.4872697529552,1.12806221599521
"12","C58","100",1.19632114758875,0.816576217599767
"13","C6","0",10.6137116824298,4.46844271488135
"14","C6","10",10.9847123673872,3.40783527391799
"15","C6","25",7.80907988603357,2.96877531813097
"16","C6","35",4.8713123236461,2.62189583790958
"17","C6","65",3.05029302182304,3.150570877119
"18","C6","100",1.40553009353156,1.36818049778208
"19","C67","0",6.80997136012155,3.3686404997251
"20","C67","10",7.55452329700309,2.93818252043588
"21","C67","25",4.58342884630808,3.55982048689326
"22","C67","35",2.5029894387509,0.571242340167191
"23","C67","65",2.37047324093923,2.24926044879344
"24","C67","100",1.46546902745349,0.822833000367657
"25","C7","0",7.8821117845119,2.78036274373761
"26","C7","10",9.39538906554887,1.89210091176073
"27","C7","25",9.78457037772919,2.82948856401903
"28","C7","35",6.31142259184314,3.28481060313138
"29","C7","65",2.20480972515856,1.61795481160556
"30","C7","100",1.02248813193337,1.07268836047288
"31","C73","0",9.40246491980302,2.84084390201915
"32","C73","10",11.0628695521474,6.24241478954405
"33","C73","25",6.14249823642972,2.24239843683724
"34","C73","35",5.31995033784628,2.53936928938142
"35","C73","65",2.03904016759345,1.23977232033363
"36","C73","100",0.66541601255887,0.773547797485301
"37","C76","0",8.16968722040302,3.97907515714727
"38","C76","10",9.79679018337197,5.38539463953815
"39","C76","25",8.51666124749241,4.98995598382297
"40","C76","35",6.94785851390077,5.8253697993663
"41","C76","65",3.45427542059183,1.81552420640259
"42","C76","100",1.42190432173502,1.05123144501086
"43","C85","0",12.4720120293555,12.0436164400139
"44","C85","10",8.23610775027961,4.71669804081637
"45","C85","25",6.67358594933581,4.09382895499139
"46","C85","35",6.88521192821348,2.87122462300426
"47","C85","65",3.85400923719577,1.78669128073844
"48","C85","100",1.72016984431055,0.697992886154124
"49","REF","0",5.46967730389439,2.91270602752004
"50","REF","10",7.74409557655211,4.04123032851999
"51","REF","25",5.52673547613017,4.16806820675635
"52","REF","35",4.69377102947325,4.47589362617056
"53","REF","65",2.9885522068384,1.93129085787959
"54","REF","100",1.9970375567526,1.63013199231087
"55","THP-1","0",0,0
"56","THP-1","10",0,0
"57","THP-1","25",0,0
"58","THP-1","35",0,0
"59","THP-1","65",0,0
"60","THP-1","100",0,0
