"pop","Cntrl_ama_per_cell","X","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","n_amas.y","corrected_ama","ama_per_cell","experiment","viability","mean_value"
"C44",19.683185840708,25,"B",6,788,11338,565,14.39,"MILT","0",217,11121,19.683185840708,"EXP 1",100,100
"C44",19.683185840708,26,"C",6,663,15138,556,22.83,"MILT","1.25",115,15023,27.0197841726619,"EXP 1",137.273429166028,86.9434696214609
"C44",19.683185840708,27,"D",6,697,4516,524,6.479,"MILT","2.5",178,4338,8.27862595419847,"EXP 1",42.0593801287845,41.7755316104934
"C44",19.683185840708,28,"E",6,781,2177,509,2.787,"MILT","5",225,1952,3.83497053045187,"EXP 1",19.4834848458349,28.6914507407091
"C44",19.683185840708,29,"F",6,729,2950,550,4.047,"MILT","10",233,2717,4.94,"EXP 1",25.0975631687797,28.2641000767719
"C44",19.683185840708,30,"G",6,411,2658,298,6.467,"MILT","20",69,2589,8.68791946308725,"EXP 1",44.1387869494136,29.6213549316235
"C58",24.6072961373391,31,"G",7,418,2570,316,6.148,"MILT","20",69,2501,7.91455696202532,"EXP 1",32.163456390545,26.5907146887337
"C58",24.6072961373391,32,"F",7,675,3322,531,4.921,"MILT","10",233,3089,5.81732580037665,"EXP 1",23.6406542511164,39.8117149109901
"C58",24.6072961373391,33,"E",7,896,2848,587,3.179,"MILT","5",225,2623,4.46848381601363,"EXP 1",18.1591825086103,36.3030758213946
"C58",24.6072961373391,34,"D",7,738,9328,576,12.64,"MILT","2.5",178,9150,15.8854166666667,"EXP 1",64.5557178570391,47.5684275203723
"C58",24.6072961373391,35,"C",7,664,14803,562,22.29,"MILT","1.25",115,14688,26.135231316726,"EXP 1",106.209277000037,96.9296537301718
"C58",24.6072961373391,36,"B",7,601,11684,466,19.44,"MILT","0",217,11467,24.6072961373391,"EXP 1",100,100
"C6",25.9071428571429,13,"B",4,662,14725,560,22.24,"MILT","0",217,14508,25.9071428571429,"EXP 1",100,100
