"pop","Cntrl_ama_per_cell","X","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","n_amas.y","corrected_ama","ama_per_cell","experiment","viability","mean_value","mean_normalized","viability_normalized"
"REF",2.30630630630631,7,"G",3,327,472,98,1.443,"SbIII",100,16,456,1.39449541284404,"EXP 1",60.4644495412845,36.1385725693451,0,0
"REF",2.30630630630631,8,"F",3,288,685,126,2.378,"SbIII",65,15,670,2.32638888888889,"EXP 1",100.870768229167,63.1668522960448,21.8446330855123,34.8835637826753
"REF",2.30630630630631,9,"E",3,383,981,142,2.561,"SbIII",35,21,960,2.5065274151436,"EXP 1",108.681462140992,83.9267068753824,38.6230374375379,50.0151660575777
"REF",2.30630630630631,10,"D",3,646,2639,322,4.085,"SbIII",25,8,2631,4.07275541795666,"EXP 1",176.592129450464,106.932264788582,57.2164505819532,94.48948703968
"REF",2.30630630630631,11,"C",3,790,4732,380,5.99,"SbIII",10,12,4720,5.9746835443038,"EXP 1",259.058544303797,159.868184419064,100,162.045090613355
"REF",2.30630630630631,12,"B",3,999,2335,373,2.337,"SbIII",0,31,2304,2.30630630630631,"EXP 1",100,100,51.6136973808829,51.6136973808829
"REF",5.54146341463415,91,"G",7,40,12,7,0.3,"SbIII",100,3,9,0.225,"EXP 2",4.06029929577465,36.1385725693451,0,0
"REF",5.54146341463415,92,"F",7,80,47,20,0.5875,"SbIII",65,1,46,0.575,"EXP 2",10.3763204225352,63.1668522960448,21.8446330855123,3.58838384641469
"REF",5.54146341463415,93,"E",7,67,61,20,0.9104,"SbIII",35,7,54,0.805970149253731,"EXP 2",14.5443556863569,83.9267068753824,38.6230374375379,6.69330675649092
"REF",5.54146341463415,94,"D",7,95,264,51,2.779,"SbIII",25,6,258,2.71578947368421,"EXP 2",49.0085248332097,106.932264788582,57.2164505819532,26.2230847233789
"REF",5.54146341463415,95,"C",7,133,500,87,3.759,"SbIII",10,3,497,3.73684210526316,"EXP 2",67.4342105263158,159.868184419064,100,42.1811323943918
"REF",5.54146341463415,96,"B",7,205,1140,135,5.561,"SbIII",0,4,1136,5.54146341463415,"EXP 2",100,100,51.6136973808829,51.6136973808829
"REF",4.70673076923077,145,"B",6,1664,8190,984,4.922,"SbIII",0,358,7832,4.70673076923077,"EXP 3",100,100,51.6136973808829,51.6136973808829
"REF",4.70673076923077,146,"C",6,1744,14512,1157,8.321,"SbIII",10,436,14076,8.07110091743119,"EXP 3",171.47997863388,159.868184419064,100,107.263355280484
"REF",4.70673076923077,147,"D",6,1205,4771,760,3.959,"SbIII",25,437,4334,3.59668049792531,"EXP 3",76.4156837148585,106.932264788582,57.2164505819532,40.8878854254308
"REF",4.70673076923077,148,"E",6,814,4057,553,4.984,"SbIII",35,448,3609,4.43366093366093,"EXP 3",94.1983119715499,83.9267068753824,38.6230374375379,43.3500260558564
"REF",4.70673076923077,149,"F",6,567,2577,391,4.545,"SbIII",65,188,2389,4.21340388007055,"EXP 3",89.5186932640117,63.1668522960448,21.8446330855123,30.9577402952103
"REF",9.32420872540633,199,"G",5,173,789,124,4.561,"SbIII",100,81,708,4.09248554913295,"EXP 4",43.8909688709763,36.1385725693451,0,0
"REF",9.32420872540633,200,"F",5,137,706,95,5.153,"SbIII",65,43,663,4.83941605839416,"EXP 4",51.9016272684658,63.1668522960448,21.8446330855123,17.9488444177493
"REF",9.32420872540633,201,"E",5,242,2705,214,11.18,"SbIII",35,36,2669,11.0289256198347,"EXP 4",118.282697702631,83.9267068753824,38.6230374375379,54.4336508802268
"REF",9.32420872540633,202,"D",5,769,9281,662,12.07,"SbIII",25,267,9014,11.7217165149545,"EXP 4",125.712721155796,106.932264788582,57.2164505819532,67.2653451393232
"REF",9.32420872540633,203,"C",5,1089,14754,955,13.55,"SbIII",10,386,14368,13.1937557392103,"EXP 4",141.500004212265,159.868184419064,100,88.5104217117708
"REF",9.32420872540633,204,"B",5,1169,11233,953,9.609,"SbIII",0,333,10900,9.32420872540633,"EXP 4",100,100,51.6136973808829,51.6136973808829
"C6",5.51078167115903,13,"B",4,742,4120,442,5.553,"SbIII",0,31,4089,5.51078167115903,"EXP 1",100,100,90.3249779524509,90.3249779524509
"C6",5.51078167115903,14,"C",4,811,5100,524,6.289,"SbIII",10,12,5088,6.27373612823675,"EXP 1",113.844759284707,108.734625773454,100,104.699637741799
"C6",5.51078167115903,15,"D",4,655,5948,486,9.081,"SbIII",25,8,5940,9.06870229007634,"EXP 1",164.562902891578,92.31467097925,81.8122231250599,145.840924163609
"C6",5.51078167115903,16,"E",4,484,3323,329,6.866,"SbIII",35,21,3302,6.82231404958678,"EXP 1",123.799389209914,58.1520333659698,43.9715324436762,93.6106365342783
"C6",5.51078167115903,17,"F",4,331,1811,203,5.471,"SbIII",65,15,1796,5.42598187311178,"EXP 1",98.461202001686,38.8431450648561,22.5837907278609,57.2463217668637
"C6",5.51078167115903,18,"G",4,337,957,162,2.84,"SbIII",100,16,941,2.79228486646884,"EXP 1",50.6694881614057,18.4544617539135,0,0
"C6",16.1538461538462,79,"G",5,43,24,14,0.5581,"SbIII",100,3,21,0.488372093023256,"EXP 2",3.02325581395348,18.4544617539135,0,0
"C6",16.1538461538462,80,"F",5,31,20,6,0.6452,"SbIII",65,1,19,0.612903225806452,"EXP 2",3.79416282642088,38.8431450648561,22.5837907278609,2.20596398968848
"C6",16.1538461538462,81,"E",5,40,110,23,2.75,"SbIII",35,7,103,2.575,"EXP 2",15.9404761904761,58.1520333659698,43.9715324436762,12.0533560979029
"C6",16.1538461538462,82,"D",5,90,309,55,3.433,"SbIII",25,6,303,3.36666666666667,"EXP 2",20.8412698412698,92.31467097925,81.8122231250599,18.4702019773954
