"","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","pop","n_amas.y","corrected_ama","ama_per_cell","ama_per_infc_cell","experiment"
"1","B",2,672,31,20,0.04613,"SbIII",0,"THP-1",31,0,0,0,"EXP 1"
"2","C",2,588,12,12,0.02041,"SbIII",10,"THP-1",12,0,0,0,"EXP 1"
"3","D",2,477,8,8,0.01677,"SbIII",25,"THP-1",8,0,0,0,"EXP 1"
"4","E",2,401,21,16,0.05237,"SbIII",35,"THP-1",21,0,0,0,"EXP 1"
"5","F",2,390,15,12,0.03846,"SbIII",65,"THP-1",15,0,0,0,"EXP 1"
"6","G",2,449,16,14,0.03563,"SbIII",100,"THP-1",16,0,0,0,"EXP 1"
"7","G",3,327,472,98,1.443,"SbIII",100,"REF",16,456,1.39449541284404,4.6530612244898,"EXP 1"
"8","F",3,288,685,126,2.378,"SbIII",65,"REF",15,670,2.32638888888889,5.31746031746032,"EXP 1"
"9","E",3,383,981,142,2.561,"SbIII",35,"REF",21,960,2.5065274151436,6.76056338028169,"EXP 1"
"10","D",3,646,2639,322,4.085,"SbIII",25,"REF",8,2631,4.07275541795666,8.17080745341615,"EXP 1"
"11","C",3,790,4732,380,5.99,"SbIII",10,"REF",12,4720,5.9746835443038,12.4210526315789,"EXP 1"
"12","B",3,999,2335,373,2.337,"SbIII",0,"REF",31,2304,2.30630630630631,6.1769436997319,"EXP 1"
"13","B",4,742,4120,442,5.553,"SbIII",0,"C6",31,4089,5.51078167115903,9.25113122171946,"EXP 1"
"14","C",4,811,5100,524,6.289,"SbIII",10,"C6",12,5088,6.27373612823675,9.70992366412214,"EXP 1"
"15","D",4,655,5948,486,9.081,"SbIII",25,"C6",8,5940,9.06870229007634,12.2222222222222,"EXP 1"
"16","E",4,484,3323,329,6.866,"SbIII",35,"C6",21,3302,6.82231404958678,10.0364741641337,"EXP 1"
"17","F",4,331,1811,203,5.471,"SbIII",65,"C6",15,1796,5.42598187311178,8.84729064039409,"EXP 1"
"18","G",4,337,957,162,2.84,"SbIII",100,"C6",16,941,2.79228486646884,5.80864197530864,"EXP 1"
"19","G",5,432,1139,226,2.637,"SbIII",100,"C7",16,1123,2.59953703703704,4.96902654867257,"EXP 1"
"20","F",5,429,1679,247,3.914,"SbIII",65,"C7",15,1664,3.87878787878788,6.73684210526316,"EXP 1"
"21","E",5,464,2638,315,5.685,"SbIII",35,"C7",21,2617,5.64008620689655,8.30793650793651,"EXP 1"
"22","D",5,709,6300,557,8.886,"SbIII",25,"C7",8,6292,8.87447108603667,11.2962298025135,"EXP 1"
"23","C",5,802,6411,512,7.994,"SbIII",10,"C7",12,6399,7.9788029925187,12.498046875,"EXP 1"
"24","B",5,813,3139,371,3.861,"SbIII",0,"C7",31,3108,3.82287822878229,8.37735849056604,"EXP 1"
"25","B",6,891,3655,418,4.102,"SbIII",0,"C44",31,3624,4.06734006734007,8.66985645933014,"EXP 1"
"26","C",6,857,5221,514,6.092,"SbIII",10,"C44",12,5209,6.0781796966161,10.1342412451362,"EXP 1"
"27","D",6,561,3280,363,5.847,"SbIII",25,"C44",8,3272,5.83244206773619,9.0137741046832,"EXP 1"
"28","E",6,500,2366,297,4.732,"SbIII",35,"C44",21,2345,4.69,7.8956228956229,"EXP 1"
"29","F",6,377,1485,196,3.939,"SbIII",65,"C44",15,1470,3.89920424403183,7.5,"EXP 1"
"30","G",6,335,370,121,1.104,"SbIII",100,"C44",16,354,1.05671641791045,2.92561983471074,"EXP 1"
"31","G",7,472,683,167,1.447,"SbIII",100,"C58",16,667,1.41313559322034,3.9940119760479,"EXP 1"
"32","F",7,312,705,147,2.26,"SbIII",65,"C58",15,690,2.21153846153846,4.69387755102041,"EXP 1"
"33","E",7,536,1098,270,2.049,"SbIII",35,"C58",21,1077,2.00932835820896,3.98888888888889,"EXP 1"
"34","D",7,451,2243,302,4.973,"SbIII",25,"C58",8,2235,4.95565410199557,7.40066225165563,"EXP 1"
"35","C",7,841,4582,482,5.448,"SbIII",10,"C58",12,4570,5.43400713436385,9.48132780082988,"EXP 1"
"36","B",7,952,3602,415,3.784,"SbIII",0,"C58",31,3571,3.75105042016807,8.60481927710843,"EXP 1"
"37","B",8,1008,4214,490,4.181,"SbIII",0,"C67",31,4183,4.14980158730159,8.53673469387755,"EXP 1"
"38","C",8,799,4559,463,5.706,"SbIII",10,"C67",12,4547,5.69086357947434,9.8207343412527,"EXP 1"
"39","D",8,453,688,197,1.519,"SbIII",25,"C67",8,680,1.50110375275938,3.45177664974619,"EXP 1"
"40","E",8,527,1064,273,2.019,"SbIII",35,"C67",21,1043,1.97912713472486,3.82051282051282,"EXP 1"
"41","F",8,326,701,136,2.15,"SbIII",65,"C67",15,686,2.10429447852761,5.04411764705882,"EXP 1"
"42","G",8,257,337,84,1.311,"SbIII",100,"C67",16,321,1.24902723735409,3.82142857142857,"EXP 1"
"43","G",9,455,544,147,1.196,"SbIII",100,"C73",16,528,1.16043956043956,3.59183673469388,"EXP 1"
"44","F",9,306,1032,178,3.373,"SbIII",65,"C73",15,1017,3.32352941176471,5.71348314606742,"EXP 1"
"45","E",9,448,3913,300,8.734,"SbIII",35,"C73",21,3892,8.6875,12.9733333333333,"EXP 1"
"46","D",9,597,4660,434,7.806,"SbIII",25,"C73",8,4652,7.79229480737018,10.7188940092166,"EXP 1"
"47","C",9,789,12490,602,15.83,"SbIII",10,"C73",12,12478,15.8149556400507,20.7275747508306,"EXP 1"
"48","B",9,1052,10635,612,10.11,"SbIII",0,"C73",31,10604,10.0798479087452,17.3267973856209,"EXP 1"
"49","B",10,820,3584,439,4.371,"SbIII",0,"C76",31,3553,4.33292682926829,8.09339407744875,"EXP 1"
"50","C",10,728,9737,571,13.38,"SbIII",10,"C76",12,9725,13.3585164835165,17.0315236427321,"EXP 1"
"51","D",10,595,5784,458,9.721,"SbIII",25,"C76",8,5776,9.70756302521008,12.6113537117904,"EXP 1"
"52","E",10,719,3420,471,4.757,"SbIII",35,"C76",21,3399,4.72739916550765,7.21656050955414,"EXP 1"
"53","F",10,386,1744,225,4.518,"SbIII",65,"C76",15,1729,4.47927461139896,7.68444444444444,"EXP 1"
"54","G",10,345,688,182,1.994,"SbIII",100,"C76",16,672,1.94782608695652,3.69230769230769,"EXP 1"
"55","G",11,463,738,158,1.594,"SbIII",100,"C85",16,722,1.55939524838013,4.56962025316456,"EXP 1"
"56","F",11,426,1186,141,2.784,"SbIII",65,"C85",15,1171,2.74882629107981,8.30496453900709,"EXP 1"
"57","E",11,643,3447,389,5.361,"SbIII",35,"C85",21,3426,5.32814930015552,8.80719794344473,"EXP 1"
"58","D",11,651,1457,276,2.238,"SbIII",25,"C85",8,1449,2.2258064516129,5.25,"EXP 1"
"59","C",11,972,2863,417,2.945,"SbIII",10,"C85",12,2851,2.93312757201646,6.83693045563549,"EXP 1"
"60","B",11,1001,6043,581,6.037,"SbIII",0,"C85",31,6012,6.00599400599401,10.3476764199656,"EXP 1"
"61","B",2,69,4,2,0.05797,"SbIII",0,"THP-1",4,0,0,0,"EXP 2"
"62","C",2,109,3,2,0.02752,"SbIII",10,"THP-1",3,0,0,0,"EXP 2"
"63","D",2,75,6,3,0.08,"SbIII",25,"THP-1",6,0,0,0,"EXP 2"
"64","E",2,47,7,4,0.1489,"SbIII",35,"THP-1",7,0,0,0,"EXP 2"
"65","F",2,77,1,1,0.01299,"SbIII",65,"THP-1",1,0,0,0,"EXP 2"
"66","G",2,37,3,3,0.08108,"SbIII",100,"THP-1",3,0,0,0,"EXP 2"
"67","G",3,38,15,9,0.3947,"SbIII",100,"C76",3,12,0.315789473684211,1.33333333333333,"EXP 2"
"68","F",3,57,68,23,1.193,"SbIII",65,"C76",1,67,1.17543859649123,2.91304347826087,"EXP 2"
"69","E",3,35,69,15,1.971,"SbIII",35,"C76",7,62,1.77142857142857,4.13333333333333,"EXP 2"
"70","D",3,53,129,20,2.434,"SbIII",25,"C76",6,123,2.32075471698113,6.15,"EXP 2"
"71","C",3,105,564,65,5.371,"SbIII",10,"C76",3,561,5.34285714285714,8.63076923076923,"EXP 2"
"72","B",3,221,2126,167,9.62,"SbIII",0,"C76",4,2122,9.60180995475113,12.7065868263473,"EXP 2"
"73","B",4,216,1070,130,4.954,"SbIII",0,"C44",4,1066,4.93518518518519,8.2,"EXP 2"
"74","C",4,118,424,51,3.593,"SbIII",10,"C44",3,421,3.56779661016949,8.25490196078431,"EXP 2"
"75","D",4,68,129,32,1.897,"SbIII",25,"C44",6,123,1.80882352941176,3.84375,"EXP 2"
"76","E",4,91,181,45,1.989,"SbIII",35,"C44",7,174,1.91208791208791,3.86666666666667,"EXP 2"
"77","F",4,62,33,19,0.5323,"SbIII",65,"C44",1,32,0.516129032258065,1.68421052631579,"EXP 2"
"78","G",4,31,15,10,0.4839,"SbIII",100,"C44",3,12,0.387096774193548,1.2,"EXP 2"
"79","G",5,43,24,14,0.5581,"SbIII",100,"C6",3,21,0.488372093023256,1.5,"EXP 2"
"80","F",5,31,20,6,0.6452,"SbIII",65,"C6",1,19,0.612903225806452,3.16666666666667,"EXP 2"
"81","E",5,40,110,23,2.75,"SbIII",35,"C6",7,103,2.575,4.47826086956522,"EXP 2"
"82","D",5,90,309,55,3.433,"SbIII",25,"C6",6,303,3.36666666666667,5.50909090909091,"EXP 2"
"83","C",5,173,2081,139,12.03,"SbIII",10,"C6",3,2078,12.0115606936416,14.9496402877698,"EXP 2"
"84","B",5,221,3574,186,16.17,"SbIII",0,"C6",4,3570,16.1538461538462,19.1935483870968,"EXP 2"
"85","B",6,153,554,84,3.621,"SbIII",0,"C58",4,550,3.59477124183007,6.54761904761905,"EXP 2"
"86","C",6,114,507,74,4.447,"SbIII",10,"C58",3,504,4.42105263157895,6.81081081081081,"EXP 2"
"87","D",6,56,20,11,0.3571,"SbIII",25,"C58",6,14,0.25,1.27272727272727,"EXP 2"
"88","E",6,79,94,30,1.19,"SbIII",35,"C58",7,87,1.10126582278481,2.9,"EXP 2"
"89","F",6,58,45,14,0.7759,"SbIII",65,"C58",1,44,0.758620689655172,3.14285714285714,"EXP 2"
"90","G",6,25,14,6,0.56,"SbIII",100,"C58",3,11,0.44,1.83333333333333,"EXP 2"
"91","G",7,40,12,7,0.3,"SbIII",100,"REF",3,9,0.225,1.28571428571429,"EXP 2"
"92","F",7,80,47,20,0.5875,"SbIII",65,"REF",1,46,0.575,2.3,"EXP 2"
"93","E",7,67,61,20,0.9104,"SbIII",35,"REF",7,54,0.805970149253731,2.7,"EXP 2"
"94","D",7,95,264,51,2.779,"SbIII",25,"REF",6,258,2.71578947368421,5.05882352941176,"EXP 2"
"95","C",7,133,500,87,3.759,"SbIII",10,"REF",3,497,3.73684210526316,5.71264367816092,"EXP 2"
"96","B",7,205,1140,135,5.561,"SbIII",0,"REF",4,1136,5.54146341463415,8.41481481481481,"EXP 2"
"97","B",8,221,1347,152,6.095,"SbIII",0,"C67",4,1343,6.07692307692308,8.83552631578947,"EXP 2"
"98","C",8,148,1123,104,7.588,"SbIII",10,"C67",3,1120,7.56756756756757,10.7692307692308,"EXP 2"
"99","D",8,33,114,17,3.455,"SbIII",25,"C67",6,108,3.27272727272727,6.35294117647059,"EXP 2"
"100","E",8,65,169,35,2.6,"SbIII",35,"C67",7,162,2.49230769230769,4.62857142857143,"EXP 2"
"101","F",8,45,17,7,0.3778,"SbIII",65,"C67",1,16,0.355555555555556,2.28571428571429,"EXP 2"
"102","G",8,78,37,19,0.4744,"SbIII",100,"C67",3,34,0.435897435897436,1.78947368421053,"EXP 2"
"103","G",9,56,36,13,0.6429,"SbIII",100,"C7",3,33,0.589285714285714,2.53846153846154,"EXP 2"
"104","F",9,66,138,31,2.091,"SbIII",65,"C7",1,137,2.07575757575758,4.41935483870968,"EXP 2"
"105","E",9,94,239,51,2.543,"SbIII",35,"C7",7,232,2.46808510638298,4.54901960784314,"EXP 2"
"106","D",9,156,1099,112,7.045,"SbIII",25,"C7",6,1093,7.00641025641026,9.75892857142857,"EXP 2"
"107","C",9,176,1526,124,8.67,"SbIII",10,"C7",3,1523,8.65340909090909,12.2822580645161,"EXP 2"
"108","B",9,294,2454,204,8.347,"SbIII",0,"C7",4,2450,8.33333333333333,12.0098039215686,"EXP 2"
"109","B",10,231,1970,168,8.528,"SbIII",0,"C73",4,1966,8.51082251082251,11.702380952381,"EXP 2"
"110","C",10,115,591,83,5.139,"SbIII",10,"C73",3,588,5.11304347826087,7.08433734939759,"EXP 2"
"111","D",10,108,483,72,4.472,"SbIII",25,"C73",6,477,4.41666666666667,6.625,"EXP 2"
"112","E",10,98,255,49,2.602,"SbIII",35,"C73",7,248,2.53061224489796,5.06122448979592,"EXP 2"
"113","F",10,62,99,29,1.597,"SbIII",65,"C73",1,98,1.58064516129032,3.37931034482759,"EXP 2"
"114","G",10,49,76,17,1.551,"SbIII",100,"C73",3,73,1.48979591836735,4.29411764705882,"EXP 2"
"115","G",11,59,101,25,1.712,"SbIII",100,"C85",3,98,1.66101694915254,3.92,"EXP 2"
"116","F",11,103,669,62,6.495,"SbIII",65,"C85",1,668,6.48543689320388,10.7741935483871,"EXP 2"
"117","E",11,105,1139,72,10.85,"SbIII",35,"C85",7,1132,10.7809523809524,15.7222222222222,"EXP 2"
"118","D",11,189,2219,133,11.74,"SbIII",25,"C85",6,2213,11.7089947089947,16.6390977443609,"EXP 2"
"119","C",11,213,2689,162,12.62,"SbIII",10,"C85",3,2686,12.6103286384977,16.5802469135802,"EXP 2"
"120","B",11,237,7208,209,30.41,"SbIII",0,"C85",4,7204,30.3966244725738,34.4688995215311,"EXP 2"
"121","B",2,1402,13975,979,9.968,"SbIII",0,"C7",358,13617,9.71255349500713,13.9090909090909,"EXP 3"
"122","C",2,1775,15992,1254,9.01,"SbIII",10,"C7",436,15556,8.76394366197183,12.4051036682616,"EXP 3"
"123","D",2,1134,15985,811,14.1,"SbIII",25,"C7",437,15548,13.710758377425,19.1713933415536,"EXP 3"
"124","E",2,899,9828,653,10.93,"SbIII",35,"C7",448,9380,10.4338153503893,14.364471669219,"EXP 3"
"125","F",2,506,1614,278,3.19,"SbIII",65,"C7",188,1426,2.81818181818182,5.1294964028777,"EXP 3"
"126","G",2,428,524,174,1.224,"SbIII",100,"C7",225,299,0.698598130841122,1.7183908045977,"EXP 3"
"127","G",3,175,227,76,1.297,"SbIII",100,"C73",225,2,0.0114285714285714,0.0263157894736842,"EXP 3"
"128","F",3,456,1430,258,3.136,"SbIII",65,"C73",188,1242,2.72368421052632,4.81395348837209,"EXP 3"
"129","E",3,817,4420,523,5.41,"SbIII",35,"C73",448,3972,4.86168910648715,7.59464627151052,"EXP 3"
"130","D",3,1023,4544,670,4.442,"SbIII",25,"C73",437,4107,4.01466275659824,6.12985074626866,"EXP 3"
"131","C",3,1516,9937,1002,6.555,"SbIII",10,"C73",436,9501,6.26715039577836,9.48203592814371,"EXP 3"
"132","B",3,1809,11435,1184,6.321,"SbIII",0,"C73",358,11077,6.1232725262576,9.35557432432432,"EXP 3"
"133","B",4,2024,11776,1234,5.818,"SbIII",0,"C76",358,11418,5.64130434782609,9.25283630470016,"EXP 3"
"134","C",4,2042,10733,1259,5.256,"SbIII",10,"C76",436,10297,5.04260528893242,8.17871326449563,"EXP 3"
"135","D",4,1594,12671,1092,7.949,"SbIII",25,"C76",437,12234,7.67503136762861,11.2032967032967,"EXP 3"
"136","E",4,816,5364,559,6.574,"SbIII",35,"C76",448,4916,6.02450980392157,8.79427549194991,"EXP 3"
"137","F",4,516,1677,315,3.25,"SbIII",65,"C76",188,1489,2.88565891472868,4.72698412698413,"EXP 3"
"138","G",4,394,542,185,1.376,"SbIII",100,"C76",225,317,0.804568527918782,1.71351351351351,"EXP 3"
"139","G",5,271,345,130,1.273,"SbIII",100,"C44",225,120,0.44280442804428,0.923076923076923,"EXP 3"
"140","F",5,482,1634,300,3.39,"SbIII",65,"C44",188,1446,3,4.82,"EXP 3"
"141","E",5,781,4242,566,5.431,"SbIII",35,"C44",448,3794,4.85787451984635,6.70318021201413,"EXP 3"
"142","D",5,1276,6685,920,5.239,"SbIII",25,"C44",437,6248,4.89655172413793,6.79130434782609,"EXP 3"
"143","C",5,1818,15177,1372,8.348,"SbIII",10,"C44",436,14741,8.10836083608361,10.7441690962099,"EXP 3"
"144","B",5,1922,11407,1305,5.935,"SbIII",0,"C44",358,11049,5.74869927159209,8.46666666666667,"EXP 3"
"145","B",6,1664,8190,984,4.922,"SbIII",0,"REF",358,7832,4.70673076923077,7.95934959349593,"EXP 3"
"146","C",6,1744,14512,1157,8.321,"SbIII",10,"REF",436,14076,8.07110091743119,12.1659464131374,"EXP 3"
"147","D",6,1205,4771,760,3.959,"SbIII",25,"REF",437,4334,3.59668049792531,5.70263157894737,"EXP 3"
"148","E",6,814,4057,553,4.984,"SbIII",35,"REF",448,3609,4.43366093366093,6.52622061482821,"EXP 3"
"149","F",6,567,2577,391,4.545,"SbIII",65,"REF",188,2389,4.21340388007055,6.10997442455243,"EXP 3"
"150","G",6,449,1247,249,2.777,"SbIII",100,"REF",225,1022,2.27616926503341,4.10441767068273,"EXP 3"
"151","G",7,659,1984,389,3.011,"SbIII",100,"C85",225,1759,2.66919575113809,4.52185089974293,"EXP 3"
"152","F",7,757,2804,527,3.704,"SbIII",65,"C85",188,2616,3.4557463672391,4.96394686907021,"EXP 3"
"153","E",7,660,3242,467,4.912,"SbIII",35,"C85",448,2794,4.23333333333333,5.98286937901499,"EXP 3"
"154","D",7,1539,7830,1025,5.088,"SbIII",25,"C85",437,7393,4.80376868096166,7.21268292682927,"EXP 3"
"155","C",7,1968,11484,1227,5.835,"SbIII",10,"C85",436,11048,5.61382113821138,9.0040749796251,"EXP 3"
"156","B",7,1825,9400,1120,5.151,"SbIII",0,"C85",358,9042,4.95452054794521,8.07321428571429,"EXP 3"
"157","B",8,1289,358,230,0.2777,"SbIII",0,"THP-1",358,0,0,0,"EXP 3"
"158","C",8,1793,436,277,0.2432,"SbIII",10,"THP-1",436,0,0,0,"EXP 3"
"159","D",8,717,437,225,0.6095,"SbIII",25,"THP-1",437,0,0,0,"EXP 3"
"160","E",8,548,448,203,0.8175,"SbIII",35,"THP-1",448,0,0,0,"EXP 3"
"161","F",8,487,188,109,0.386,"SbIII",65,"THP-1",188,0,0,0,"EXP 3"
"162","G",8,425,225,117,0.5294,"SbIII",100,"THP-1",225,0,0,0,"EXP 3"
"163","G",9,328,993,187,3.027,"SbIII",100,"C6",225,768,2.34146341463415,4.10695187165775,"EXP 3"
"164","F",9,546,3517,392,6.441,"SbIII",65,"C6",188,3329,6.0970695970696,8.49234693877551,"EXP 3"
"165","E",9,577,4741,443,8.217,"SbIII",35,"C6",448,4293,7.44020797227036,9.69074492099323,"EXP 3"
"166","D",9,945,9165,695,9.698,"SbIII",25,"C6",437,8728,9.23597883597884,12.558273381295,"EXP 3"
"167","C",9,1430,20995,1120,14.68,"SbIII",10,"C6",436,20559,14.3769230769231,18.35625,"EXP 3"
"168","B",9,1297,15448,993,11.91,"SbIII",0,"C6",358,15090,11.6345412490362,15.1963746223565,"EXP 3"
"169","B",10,1533,8470,1042,5.525,"SbIII",0,"C67",358,8112,5.29158512720157,7.78502879078695,"EXP 3"
"170","C",10,1712,9444,1102,5.516,"SbIII",10,"C67",436,9008,5.26168224299065,8.17422867513612,"EXP 3"
"171","D",10,1133,4801,770,4.237,"SbIII",25,"C67",437,4364,3.85172109443954,5.66753246753247,"EXP 3"
"172","E",10,723,2834,475,3.92,"SbIII",35,"C67",448,2386,3.30013831258645,5.02315789473684,"EXP 3"
