Display	Use for Z'	Row	Column	Timepoint	Celulas fora da borda - Number of Objects	Ama - Number of Objects	Celulas Infectadas - Number of Objects	Formula Output 2	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count
True		B	2	0	3	0	0	0	13	0	x	0	THP-1	
True		C	2	0	171	158	67	0.924	13	0	x	0.15	THP-1	
True		D	2	0	143	127	67	0.8881	13	0	x	0.62	THP-1	
True		E	2	0	152	75	38	0.4934	13	0	x	1.2	THP-1	
True		F	2	0	207	285	116	1.377	13	0	x	3	THP-1	
True		G	2	0	204	63	48	0.3088	13	0	x	5	THP-1	
True		G	3	0	266	482	162	1.812	13	0	ANF	20	C76	
True		F	3	0	277	466	172	1.682	13	0	ANF	10	C76	
True		E	3	0	274	1127	207	4.113	13	0	ANF	5	C76	
True		D	3	0	223	1099	167	4.928	13	0	ANF	2.5	C76	
True		C	3	0	263	1446	216	5.498	13	0	ANF	1.25	C76	
True		B	3	0	163	1142	112	7.006	13	0	ANF	0	C76	
True		B	4	0	193	1018	134	5.275	13	0	ANF	0	C44	
True		C	4	0	326	1543	198	4.733	13	0	ANF	1.25	C44	
True		D	4	0	293	685	158	2.338	13	0	ANF	2.5	C44	
True		E	4	0	235	760	151	3.234	13	0	ANF	5	C44	
True		F	4	0	340	1167	260	3.432	13	0	ANF	10	C44	
True		G	4	0	244	581	173	2.381	13	0	ANF	20	C44	
True		G	5	0	172	331	118	1.924	13	0	ANF	20	C6	
True		F	5	0	239	1021	187	4.272	13	0	ANF	10	C6	
True		E	5	0	367	3294	318	8.975	13	0	ANF	5	C6	
True		D	5	0	347	2702	286	7.787	13	0	ANF	2.5	C6	
True		C	5	0	296	5370	264	18.14	13	0	ANF	1.25	C6	
True		B	5	0	300	6591	270	21.97	13	0	ANF	0	C6	
True		B	6	0	386	5455	316	14.13	13	0	ANF	0	C58	
True		C	6	0	332	1270	222	3.825	13	0	ANF	1.25	C58	
True		D	6	0	329	1756	236	5.337	13	0	ANF	2.5	C58	
True		E	6	0	352	1105	231	3.139	13	0	ANF	5	C58	
True		F	6	0	271	402	156	1.483	13	0	ANF	10	C58	
True		G	6	0	448	661	269	1.475	13	0	ANF	20	C58	
True		G	7	0	226	167	90	0.7389	13	0	ANF	20	REF	
True		F	7	0	278	378	159	1.36	13	0	ANF	10	REF	
True		E	7	0	221	431	134	1.95	13	0	ANF	5	REF	
True		D	7	0	235	557	133	2.37	13	0	ANF	2.5	REF	
True		C	7	0	229	1712	163	7.476	13	0	ANF	1.25	REF	
True		B	7	0	245	2306	186	9.412	13	0	ANF	0	REF	
True		B	8	0	319	3439	260	10.78	13	0	ANF	0	C67	
True		C	8	0	286	1459	219	5.101	13	0	ANF	1.25	C67	
True		D	8	0	313	763	205	2.438	13	0	ANF	2.5	C67	
True		E	8	0	301	1047	211	3.478	13	0	ANF	5	C67	
True		F	8	0	242	273	131	1.128	13	0	ANF	10	C67	
True		G	8	0	204	131	81	0.6422	13	0	ANF	20	C67	
True		G	9	0	232	353	133	1.522	13	0	ANF	20	C7	
True		F	9	0	446	731	253	1.639	13	0	ANF	10	C7	
True		E	9	0	337	1109	247	3.291	13	0	ANF	5	C7	
True		D	9	0	277	1115	188	4.025	13	0	ANF	2.5	C7	
True		C	9	0	296	1077	202	3.639	13	0	ANF	1.25	C7	
True		B	9	0	301	2781	224	9.239	13	0	ANF	0	C7	
True		B	10	0	313	4634	249	14.81	13	0	ANF	0	C73	
True		C	10	0	273	2119	221	7.762	13	0	ANF	1.25	C73	
True		D	10	0	166	434	113	2.614	13	0	ANF	2.5	C73	
True		E	10	0	155	334	111	2.155	13	0	ANF	5	C73	
True		F	10	0	273	330	148	1.209	13	0	ANF	10	C73	
True		G	10	0	201	258	113	1.284	13	0	ANF	20	C73	
True		G	11	0	146	115	66	0.7877	13	0	ANF	20	C85	
True		F	11	0	127	151	61	1.189	13	0	ANF	10	C85	
True		E	11	0	277	706	165	2.549	13	0	ANF	5	C85	
True		D	11	0	126	204	58	1.619	13	0	ANF	2.5	C85	
True		C	11	0	162	513	104	3.167	13	0	ANF	1.25	C85	
True		B	11	0	193	2944	150	15.25	13	0	ANF	0	C85	
