Display	Use for Z'	Row	Column	Timepoint	Celulas fora da borda - Number of Objects	Ama - Number of Objects	Celulas Infectadas - Number of Objects	Formula Output 2	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count
True		B	2	0	1351	14955	1072	11.07	13	0	MILT	0	C67	
True		C	2	0	1664	15252	1270	9.166	13	0	MILT	0.15	C67	
True		D	2	0	1530	8541	1051	5.582	13	0	MILT	0.62	C67	
True		E	2	0	1108	4635	725	4.183	13	0	MILT	1.2	C67	
True		F	2	0	793	3590	627	4.527	13	0	MILT	3	C67	
True		G	2	0	559	1518	374	2.716	13	0	MILT	5	C67	
True		G	3	0	471	3039	359	6.452	13	0	MILT	20	C6	
True		F	3	0	500	2380	379	4.76	13	0	MILT	10	C6	
True		E	3	0	684	7085	586	10.36	13	0	MILT	5	C6	
True		D	3	0	1292	11577	1017	8.961	13	0	MILT	2.5	C6	
True		C	3	0	1509	17060	1261	11.31	13	0	MILT	1.25	C6	
True		B	3	0	1623	20058	1360	12.36	13	0	MILT	0	C6	
True		B	4	0	986	562	264	0.57	13	0	MILT	0	THP-1	
True		C	4	0	1084	753	315	0.6946	13	0	MILT	1.25	THP-1	
True		D	4	0	862	333	186	0.3863	13	0	MILT	2.5	THP-1	
True		E	4	0	511	255	158	0.499	13	0	MILT	5	THP-1	
True		F	4	0	533	205	103	0.3846	13	0	MILT	10	THP-1	
True		G	4	0	532	209	97	0.3929	13	0	MILT	20	THP-1	
True		G	5	0	287	827	197	2.882	13	0	MILT	20	REF	
True		F	5	0	449	2020	342	4.499	13	0	MILT	10	REF	
True		E	5	0	589	3069	461	5.211	13	0	MILT	5	REF	
True		D	5	0	959	6192	756	6.457	13	0	MILT	2.5	REF	
True		C	5	0	1721	11979	1243	6.96	13	0	MILT	1.25	REF	
True		B	5	0	1631	14683	1257	9.002	13	0	MILT	0	REF	
True		B	6	0	1262	10167	945	8.056	13	0	MILT	0	C85	
True		C	6	0	1113	7973	853	7.164	13	0	MILT	1.25	C85	
True		D	6	0	1044	3950	663	3.784	13	0	MILT	2.5	C85	
True		E	6	0	934	1768	482	1.893	13	0	MILT	5	C85	
True		F	6	0	826	1921	506	2.326	13	0	MILT	10	C85	
True		G	6	0	532	1128	342	2.12	13	0	MILT	20	C85	
True		G	7	0	431	1358	285	3.151	13	0	MILT	20	C73	
True		F	7	0	413	1282	273	3.104	13	0	MILT	10	C73	
True		E	7	0	822	3286	596	3.998	13	0	MILT	5	C73	
True		D	7	0	1085	5080	780	4.682	13	0	MILT	2.5	C73	
True		C	7	0	1444	12302	1127	8.519	13	0	MILT	1.25	C73	
True		B	7	0	1621	14001	1269	8.637	13	0	MILT	0	C73	
True		B	8	0	1746	12380	1229	7.09	13	0	MILT	0	C76	
True		C	8	0	1855	12884	1368	6.946	13	0	MILT	1.25	C76	
True		D	8	0	1408	5747	987	4.082	13	0	MILT	2.5	C76	
True		E	8	0	740	3433	536	4.639	13	0	MILT	5	C76	
True		F	8	0	914	4288	701	4.691	13	0	MILT	10	C76	
True		G	8	0	838	3975	621	4.743	13	0	MILT	20	C76	
True		G	9	0	374	980	242	2.62	13	0	MILT	20	C58	
True		F	9	0	579	2017	408	3.484	13	0	MILT	10	C58	
True		E	9	0	679	2266	436	3.337	13	0	MILT	5	C58	
True		D	9	0	945	4081	652	4.319	13	0	MILT	2.5	C58	
True		C	9	0	1463	7578	1065	5.18	13	0	MILT	1.25	C58	
True		B	9	0	1330	8972	977	6.746	13	0	MILT	0	C58	
True		B	10	0	1205	7383	852	6.127	13	0	MILT	0	C7	
True		C	10	0	1237	7948	917	6.425	13	0	MILT	1.25	C7	
True		D	10	0	1077	3487	711	3.238	13	0	MILT	2.5	C7	
True		E	10	0	948	2385	558	2.516	13	0	MILT	5	C7	
True		F	10	0	799	2531	524	3.168	13	0	MILT	10	C7	
True		G	10	0	891	2535	595	2.845	13	0	MILT	20	C7	
True		G	11	0	347	973	225	2.804	13	0	MILT	20	C44	
True		F	11	0	374	1417	254	3.789	13	0	MILT	10	C44	
True		E	11	0	678	2798	467	4.127	13	0	MILT	5	C44	
True		D	11	0	1114	4758	748	4.271	13	0	MILT	2.5	C44	
True		C	11	0	1319	11289	1043	8.559	13	0	MILT	1.25	C44	
True		B	11	0	1408	12641	1117	8.978	13	0	MILT	0	C44	
