Display	Use for Z'	Row	Column	Timepoint	Celulas fora da borda - Number of Objects	Ama - Number of Objects	Celulas Infectadas - Number of Objects	Formula Output 2	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count
True		B	2	0	1117	13426	953	12.02	13	0	SbIII	0	C67	
True		C	2	0	990	11967	866	12.09	13	0	SbIII	1.6	C67	
True		D	2	0	490	5024	411	10.25	13	0	SbIII	3.2	C67	
True		E	2	0	104	269	64	2.587	13	0	SbIII	10	C67	
True		F	2	0	114	209	64	1.833	13	0	SbIII	35	C67	
True		G	2	0	207	457	126	2.208	13	0	SbIII	100	C67	
True		G	3	0	50	58	22	1.16	13	0	SbIII	100	C6	
True		F	3	0	46	46	19	1	13	0	SbIII	35	C6	
True		E	3	0	88	269	52	3.057	13	0	SbIII	10	C6	
True		D	3	0	354	3653	289	10.32	13	0	SbIII	3.2	C6	
True		C	3	0	1258	14572	1053	11.58	13	0	SbIII	1.6	C6	
True		B	3	0	1092	10331	865	9.461	13	0	SbIII	0	C6	
True		B	4	0	327	333	128	1.018	13	0	SbIII	0	THP-1	
True		C	4	0	386	386	156	1	13	0	SbIII	1.6	THP-1	
True		D	4	0	191	267	106	1.398	13	0	SbIII	3.2	THP-1	
True		E	4	0	42	36	20	0.8571	13	0	SbIII	10	THP-1	
True		F	4	0	78	43	24	0.5513	13	0	SbIII	35	THP-1	
True		G	4	0	125	81	40	0.648	13	0	SbIII	100	THP-1	
True		G	5	0	173	789	124	4.561	13	0	SbIII	100	REF	
True		F	5	0	137	706	95	5.153	13	0	SbIII	35	REF	
True		E	5	0	242	2705	214	11.18	13	0	SbIII	10	REF	
True		D	5	0	769	9281	662	12.07	13	0	SbIII	3.2	REF	
True		C	5	0	1089	14754	955	13.55	13	0	SbIII	1.6	REF	
True		B	5	0	1169	11233	953	9.609	13	0	SbIII	0	REF	
True		B	6	0	1650	14409	1297	8.733	13	0	SbIII	0	C85	
True		C	6	0	1588	19104	1306	12.03	13	0	SbIII	1.6	C85	
True		D	6	0	407	3505	334	8.612	13	0	SbIII	3.2	C85	
True		E	6	0	126	943	104	7.484	13	0	SbIII	10	C85	
True		F	6	0	73	242	41	3.315	13	0	SbIII	35	C85	
True		G	6	0	112	192	59	1.714	13	0	SbIII	100	C85	
True		G	7	0	67	69	35	1.03	13	0	SbIII	100	C73	
True		F	7	0	53	71	24	1.34	13	0	SbIII	35	C73	
True		E	7	0	90	504	66	5.6	13	0	SbIII	10	C73	
True		D	7	0	358	3255	307	9.092	13	0	SbIII	3.2	C73	
True		C	7	0	1509	26124	1320	17.31	13	0	SbIII	1.6	C73	
True		B	7	0	1249	16440	1067	13.16	13	0	SbIII	0	C73	
True		B	8	0	1071	14366	921	13.41	13	0	SbIII	0	C76	
True		C	8	0	1232	19412	1061	15.76	13	0	SbIII	1.6	C76	
True		D	8	0	534	7937	439	14.86	13	0	SbIII	3.2	C76	
True		E	8	0	373	5731	315	15.36	13	0	SbIII	10	C76	
True		F	8	0	159	882	130	5.547	13	0	SbIII	35	C76	
True		G	8	0	247	728	162	2.947	13	0	SbIII	100	C76	
True		G	9	0	100	149	59	1.49	13	0	SbIII	100	C58	
True		F	9	0	35	54	16	1.543	13	0	SbIII	35	C58	
True		E	9	0	179	928	126	5.184	13	0	SbIII	10	C58	
True		D	9	0	351	3231	275	9.205	13	0	SbIII	3.2	C58	
True		C	9	0	878	10426	723	11.87	13	0	SbIII	1.6	C58	
True		B	9	0	781	8083	645	10.35	13	0	SbIII	0	C58	
True		B	10	0	1384	13702	1090	9.9	13	0	SbIII	0	C7	
True		C	10	0	1548	19249	1265	12.43	13	0	SbIII	1.6	C7	
True		D	10	0	536	5384	431	10.04	13	0	SbIII	3.2	C7	
True		E	10	0	216	1484	173	6.87	13	0	SbIII	10	C7	
True		F	10	0	43	45	20	1.047	13	0	SbIII	35	C7	
True		G	10	0	79	97	42	1.228	13	0	SbIII	100	C7	
True		G	11	0	49	35	21	0.7143	13	0	SbIII	100	C44	
True		F	11	0	54	113	31	2.093	13	0	SbIII	35	C44	
True		E	11	0	78	468	57	6	13	0	SbIII	10	C44	
True		D	11	0	86	485	61	5.64	13	0	SbIII	3.2	C44	
True		C	11	0	1168	17430	1004	14.92	13	0	SbIII	1.6	C44	
True		B	11	0	966	12678	840	13.12	13	0	SbIII	0	C44	
