row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,3,0,0,NaN,ANF,0,THP-1
C,2,175,157,72,2.181,ANF,0.15,THP-1
D,2,144,114,64,1.781,ANF,0.62,THP-1
E,2,154,76,42,1.81,ANF,1.2,THP-1
F,2,207,280,120,2.333,ANF,3,THP-1
G,2,205,60,46,1.304,ANF,5,THP-1
G,3,270,474,156,3.038,ANF,20,C76
F,3,279,454,165,2.752,ANF,10,C76
E,3,279,1023,209,4.895,ANF,5,C76
D,3,226,1005,166,6.054,ANF,2.5,C76
C,3,267,1428,218,6.55,ANF,1.25,C76
B,3,162,1117,117,9.547,ANF,0,C76
B,4,192,1045,135,7.741,ANF,0,C44
C,4,329,1379,197,7,ANF,1.25,C44
D,4,299,619,157,3.943,ANF,2.5,C44
E,4,243,770,157,4.904,ANF,5,C44
F,4,350,1077,261,4.126,ANF,10,C44
G,4,246,530,175,3.029,ANF,20,C44
G,5,177,322,119,2.706,ANF,20,C6
F,5,242,912,184,4.957,ANF,10,C6
E,5,375,3207,324,9.898,ANF,5,C6
D,5,353,2641,281,9.399,ANF,2.5,C6
C,5,301,5215,264,19.75,ANF,1.25,C6
B,5,303,6551,274,23.91,ANF,0,C6
B,6,390,5302,314,16.89,ANF,0,C58
C,6,344,1269,224,5.665,ANF,1.25,C58
D,6,332,1639,235,6.974,ANF,2.5,C58
E,6,355,1045,229,4.563,ANF,5,C58
F,6,278,420,167,2.515,ANF,10,C58
G,6,458,636,273,2.33,ANF,20,C58
G,7,227,165,88,1.875,ANF,20,REF
F,7,278,374,163,2.294,ANF,10,REF
E,7,227,408,134,3.045,ANF,5,REF
D,7,239,509,136,3.743,ANF,2.5,REF
C,7,231,1628,167,9.749,ANF,1.25,REF
B,7,247,2170,181,11.99,ANF,0,REF
B,8,325,3250,257,12.65,ANF,0,C67
C,8,296,1275,218,5.849,ANF,1.25,C67
D,8,320,756,207,3.652,ANF,2.5,C67
E,8,305,971,210,4.624,ANF,5,C67
F,8,246,270,129,2.093,ANF,10,C67
G,8,209,131,77,1.701,ANF,20,C67
G,9,234,331,136,2.434,ANF,20,C7
F,9,458,688,255,2.698,ANF,10,C7
E,9,345,1087,244,4.455,ANF,5,C7
D,9,277,1061,188,5.644,ANF,2.5,C7
C,9,302,1045,210,4.976,ANF,1.25,C7
B,9,310,2577,229,11.25,ANF,0,C7
B,10,322,4632,253,18.31,ANF,0,C73
C,10,277,2020,225,8.978,ANF,1.25,C73
D,10,167,366,107,3.421,ANF,2.5,C73
E,10,156,324,107,3.028,ANF,5,C73
F,10,278,314,150,2.093,ANF,10,C73
G,10,204,254,120,2.117,ANF,20,C73
G,11,146,122,67,1.821,ANF,20,C85
F,11,127,142,63,2.254,ANF,10,C85
E,11,285,650,160,4.063,ANF,5,C85
D,11,127,165,59,2.797,ANF,2.5,C85
C,11,169,471,107,4.402,ANF,1.25,C85
B,11,199,2443,150,16.29,ANF,0,C85
