row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,1566,4412,825,2.817,MILT,0,C7
C,2,1579,9468,1043,5.996,MILT,1.25,C7
D,2,1679,2032,666,1.21,MILT,2.5,C7
E,2,1485,1231,440,0.829,MILT,5,C7
F,2,1237,1062,388,0.8585,MILT,10,C7
G,2,1308,501,216,0.383,MILT,20,C7
G,3,1412,439,219,0.3109,MILT,20,C73
F,3,1676,960,432,0.5728,MILT,10,C73
E,3,1597,1886,614,1.181,MILT,5,C73
D,3,1805,1609,627,0.8914,MILT,2.5,C73
C,3,1966,7656,1212,3.894,MILT,1.25,C73
B,3,1885,5614,1037,2.978,MILT,0,C73
B,4,1684,7191,939,4.27,MILT,0,C76
C,4,1782,9291,1142,5.214,MILT,1.25,C76
D,4,1501,4078,749,2.717,MILT,2.5,C76
E,4,1244,461,218,0.3706,MILT,5,C76
F,4,1332,970,320,0.7282,MILT,10,C76
G,4,1462,1159,320,0.7927,MILT,20,C76
G,5,1411,690,263,0.489,MILT,20,C44
F,5,1642,1512,506,0.9208,MILT,10,C44
E,5,1312,1682,535,1.282,MILT,5,C44
D,5,1511,1558,566,1.031,MILT,2.5,C44
C,5,1994,6271,1158,3.145,MILT,1.25,C44
B,5,1800,10258,1211,5.699,MILT,0,C44
B,6,1506,2940,721,1.952,MILT,0,REF
C,6,1789,2030,608,1.135,MILT,1.25,REF
D,6,1301,216,125,0.166,MILT,2.5,REF
E,6,1151,82,61,0.07124,MILT,5,REF
F,6,1454,429,219,0.295,MILT,10,REF
G,6,1679,494,220,0.2942,MILT,20,REF
G,7,1136,544,225,0.4789,MILT,20,C85
F,7,1331,1417,415,1.065,MILT,10,C85
E,7,1108,745,296,0.6724,MILT,5,C85
D,7,1499,3436,617,2.292,MILT,2.5,C85
C,7,1797,8908,1082,4.957,MILT,1.25,C85
B,7,1598,8217,1005,5.142,MILT,0,C85
B,8,1079,34,27,0.03151,MILT,0,THP-1
C,8,1217,39,36,0.03205,MILT,1.25,THP-1
D,8,883,8,8,0.00906,MILT,2.5,THP-1
E,8,962,17,16,0.01767,MILT,5,THP-1
F,8,1207,38,36,0.03148,MILT,10,THP-1
G,8,1330,28,26,0.02105,MILT,20,THP-1
G,9,1436,2465,667,1.717,MILT,20,C6
F,9,1248,4290,772,3.438,MILT,10,C6
E,9,1084,3935,704,3.63,MILT,5,C6
D,9,1031,3387,627,3.285,MILT,2.5,C6
C,9,1137,6208,724,5.46,MILT,1.25,C6
B,9,1146,8495,868,7.413,MILT,0,C6
B,10,1160,4788,669,4.128,MILT,0,C67
C,10,1548,4976,922,3.214,MILT,1.25,C67
D,10,1343,1086,413,0.8086,MILT,2.5,C67
E,10,1029,492,242,0.4781,MILT,5,C67
F,10,1268,937,332,0.739,MILT,10,C67
G,10,1244,1086,373,0.873,MILT,20,C67
G,11,1181,342,192,0.2896,MILT,20,C58
F,11,1048,566,238,0.5401,MILT,10,C58
E,11,788,479,209,0.6079,MILT,5,C58
D,11,1028,661,255,0.643,MILT,2.5,C58
C,11,1285,5325,792,4.144,MILT,1.25,C58
B,11,1180,4140,698,3.508,MILT,0,C58
