row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,1380,6253,770,4.531,SbIII,0,C7
C,2,1693,5568,861,3.289,SbIII,10,C7
D,2,1033,8773,637,8.493,SbIII,25,C7
E,2,882,5844,568,6.626,SbIII,35,C7
F,2,498,356,113,0.7149,SbIII,65,C7
G,2,423,83,52,0.1962,SbIII,100,C7
G,3,193,26,19,0.1347,SbIII,100,C73
F,3,427,250,96,0.5855,SbIII,65,C73
E,3,787,1900,357,2.414,SbIII,35,C73
D,3,926,1597,363,1.725,SbIII,25,C73
C,3,1413,2517,536,1.781,SbIII,10,C73
B,3,1642,2856,685,1.739,SbIII,0,C73
B,4,1885,3590,704,1.905,SbIII,0,C76
C,4,1967,2813,683,1.43,SbIII,10,C76
D,4,1491,4690,715,3.146,SbIII,25,C76
E,4,791,2426,404,3.067,SbIII,35,C76
F,4,511,374,123,0.7319,SbIII,65,C76
G,4,408,98,48,0.2402,SbIII,100,C76
G,5,280,72,43,0.2571,SbIII,100,C44
F,5,474,446,153,0.9409,SbIII,65,C44
E,5,754,1440,339,1.91,SbIII,35,C44
D,5,1170,2168,489,1.853,SbIII,25,C44
C,5,1690,6949,1053,4.112,SbIII,10,C44
B,5,1799,5421,955,3.013,SbIII,0,C44
B,6,1595,2988,581,1.873,SbIII,0,REF
C,6,1562,7726,888,4.946,SbIII,10,REF
D,6,1142,1484,395,1.299,SbIII,25,REF
E,6,805,1867,315,2.319,SbIII,35,REF
F,6,583,670,187,1.149,SbIII,65,REF
G,6,468,226,88,0.4829,SbIII,100,REF
G,7,666,450,173,0.6757,SbIII,100,C85
F,7,759,449,204,0.5916,SbIII,65,C85
E,7,640,968,240,1.513,SbIII,35,C85
D,7,1427,2639,614,1.849,SbIII,25,C85
C,7,1846,4786,888,2.593,SbIII,10,C85
B,7,1679,3259,694,1.941,SbIII,0,C85
B,8,1186,13,12,0.01096,SbIII,0,THP-1
C,8,1668,24,20,0.01439,SbIII,10,THP-1
D,8,676,8,8,0.01183,SbIII,25,THP-1
E,8,527,5,4,0.009488,SbIII,35,THP-1
F,8,488,8,7,0.01639,SbIII,65,THP-1
G,8,438,5,4,0.01142,SbIII,100,THP-1
G,9,348,253,83,0.727,SbIII,100,C6
F,9,559,1441,290,2.578,SbIII,65,C6
E,9,572,1787,299,3.124,SbIII,35,C6
D,9,928,3810,574,4.106,SbIII,25,C6
C,9,1265,9140,884,7.225,SbIII,10,C6
B,9,1213,5489,750,4.525,SbIII,0,C6
B,10,1450,3704,710,2.554,SbIII,0,C67
C,10,1483,3900,728,2.63,SbIII,10,C67
D,10,1065,1576,441,1.48,SbIII,25,C67
E,10,680,924,260,1.359,SbIII,35,C67
F,10,672,1469,332,2.186,SbIII,65,C67
G,10,388,291,119,0.75,SbIII,100,C67
G,11,354,162,73,0.4576,SbIII,100,C58
F,11,330,177,76,0.5364,SbIII,65,C58
E,11,540,611,187,1.131,SbIII,35,C58
D,11,646,763,225,1.181,SbIII,25,C58
C,11,1300,2948,606,2.268,SbIII,10,C58
B,11,1179,3651,629,3.097,SbIII,0,C58
