row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,672,31,20,0.04613,SbIII,0,THP-1
C,2,588,12,12,0.02041,SbIII,10,THP-1
D,2,477,8,8,0.01677,SbIII,25,THP-1
E,2,401,21,16,0.05237,SbIII,35,THP-1
F,2,390,15,12,0.03846,SbIII,65,THP-1
G,2,449,16,14,0.03563,SbIII,100,THP-1
G,3,327,472,98,1.443,SbIII,100,REF
F,3,288,685,126,2.378,SbIII,65,REF
E,3,383,981,142,2.561,SbIII,35,REF
D,3,646,2639,322,4.085,SbIII,25,REF
C,3,790,4732,380,5.99,SbIII,10,REF
B,3,999,2335,373,2.337,SbIII,0,REF
B,4,742,4120,442,5.553,SbIII,0,C6
C,4,811,5100,524,6.289,SbIII,10,C6
D,4,655,5948,486,9.081,SbIII,25,C6
E,4,484,3323,329,6.866,SbIII,35,C6
F,4,331,1811,203,5.471,SbIII,65,C6
G,4,337,957,162,2.84,SbIII,100,C6
G,5,432,1139,226,2.637,SbIII,100,C7
F,5,429,1679,247,3.914,SbIII,65,C7
E,5,464,2638,315,5.685,SbIII,35,C7
D,5,709,6300,557,8.886,SbIII,25,C7
C,5,802,6411,512,7.994,SbIII,10,C7
B,5,813,3139,371,3.861,SbIII,0,C7
B,6,891,3655,418,4.102,SbIII,0,C44
C,6,857,5221,514,6.092,SbIII,10,C44
D,6,561,3280,363,5.847,SbIII,25,C44
E,6,500,2366,297,4.732,SbIII,35,C44
F,6,377,1485,196,3.939,SbIII,65,C44
G,6,335,370,121,1.104,SbIII,100,C44
G,7,472,683,167,1.447,SbIII,100,C58
F,7,312,705,147,2.26,SbIII,65,C58
E,7,536,1098,270,2.049,SbIII,35,C58
D,7,451,2243,302,4.973,SbIII,25,C58
C,7,841,4582,482,5.448,SbIII,10,C58
B,7,952,3602,415,3.784,SbIII,0,C58
B,8,1008,4214,490,4.181,SbIII,0,C67
C,8,799,4559,463,5.706,SbIII,10,C67
D,8,453,688,197,1.519,SbIII,25,C67
E,8,527,1064,273,2.019,SbIII,35,C67
F,8,326,701,136,2.15,SbIII,65,C67
G,8,257,337,84,1.311,SbIII,100,C67
G,9,455,544,147,1.196,SbIII,100,C73
F,9,306,1032,178,3.373,SbIII,65,C73
E,9,448,3913,300,8.734,SbIII,35,C73
D,9,597,4660,434,7.806,SbIII,25,C73
C,9,789,12490,602,15.83,SbIII,10,C73
B,9,1052,10635,612,10.11,SbIII,0,C73
B,10,820,3584,439,4.371,SbIII,0,C76
C,10,728,9737,571,13.38,SbIII,10,C76
D,10,595,5784,458,9.721,SbIII,25,C76
E,10,719,3420,471,4.757,SbIII,35,C76
F,10,386,1744,225,4.518,SbIII,65,C76
G,10,345,688,182,1.994,SbIII,100,C76
G,11,463,738,158,1.594,SbIII,100,C85
F,11,426,1186,141,2.784,SbIII,65,C85
E,11,643,3447,389,5.361,SbIII,35,C85
D,11,651,1457,276,2.238,SbIII,25,C85
C,11,972,2863,417,2.945,SbIII,10,C85
B,11,1001,6043,581,6.037,SbIII,0,C85
