row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,3,0,0,0,ANF,0,THP-1
C,2,171,158,67,0.924,ANF,0.15,THP-1
D,2,143,127,67,0.8881,ANF,0.62,THP-1
E,2,152,75,38,0.4934,ANF,1.2,THP-1
F,2,207,285,116,1.377,ANF,3,THP-1
G,2,204,63,48,0.3088,ANF,5,THP-1
G,3,266,482,162,1.812,ANF,5,C76
F,3,277,466,172,1.682,ANF,3,C76
E,3,274,1127,207,4.113,ANF,1.2,C76
D,3,223,1099,167,4.928,ANF,0.62,C76
C,3,263,1446,216,5.498,ANF,0.15,C76
B,3,163,1142,112,7.006,ANF,0,C76
B,4,193,1018,134,5.275,ANF,0,C44
C,4,326,1543,198,4.733,ANF,0.15,C44
D,4,293,685,158,2.338,ANF,0.62,C44
E,4,235,760,151,3.234,ANF,1.2,C44
F,4,340,1167,260,3.432,ANF,3,C44
G,4,244,581,173,2.381,ANF,5,C44
G,5,172,331,118,1.924,ANF,5,C6
F,5,239,1021,187,4.272,ANF,3,C6
E,5,367,3294,318,8.975,ANF,1.2,C6
D,5,347,2702,286,7.787,ANF,0.62,C6
C,5,296,5370,264,18.14,ANF,0.15,C6
B,5,300,6591,270,21.97,ANF,0,C6
B,6,386,5455,316,14.13,ANF,0,C58
C,6,332,1270,222,3.825,ANF,0.15,C58
D,6,329,1756,236,5.337,ANF,0.62,C58
E,6,352,1105,231,3.139,ANF,1.2,C58
F,6,271,402,156,1.483,ANF,3,C58
G,6,448,661,269,1.475,ANF,5,C58
G,7,226,167,90,0.7389,ANF,5,REF
F,7,278,378,159,1.36,ANF,3,REF
E,7,221,431,134,1.95,ANF,1.2,REF
D,7,235,557,133,2.37,ANF,0.62,REF
C,7,229,1712,163,7.476,ANF,0.15,REF
B,7,245,2306,186,9.412,ANF,0,REF
B,8,319,3439,260,10.78,ANF,0,C67
C,8,286,1459,219,5.101,ANF,0.15,C67
D,8,313,763,205,2.438,ANF,0.62,C67
E,8,301,1047,211,3.478,ANF,1.2,C67
F,8,242,273,131,1.128,ANF,3,C67
G,8,204,131,81,0.6422,ANF,5,C67
G,9,232,353,133,1.522,ANF,5,C7
F,9,446,731,253,1.639,ANF,3,C7
E,9,337,1109,247,3.291,ANF,1.2,C7
D,9,277,1115,188,4.025,ANF,0.62,C7
C,9,296,1077,202,3.639,ANF,0.15,C7
B,9,301,2781,224,9.239,ANF,0,C7
B,10,313,4634,249,14.81,ANF,0,C73
C,10,273,2119,221,7.762,ANF,0.15,C73
D,10,166,434,113,2.614,ANF,0.62,C73
E,10,155,334,111,2.155,ANF,1.2,C73
F,10,273,330,148,1.209,ANF,3,C73
G,10,201,258,113,1.284,ANF,5,C73
G,11,146,115,66,0.7877,ANF,5,C85
F,11,127,151,61,1.189,ANF,3,C85
E,11,277,706,165,2.549,ANF,1.2,C85
D,11,126,204,58,1.619,ANF,0.62,C85
C,11,162,513,104,3.167,ANF,0.15,C85
B,11,193,2944,150,15.25,ANF,0,C85
