row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,69,4,2,0.05797,SbIII,0,THP-1
C,2,109,3,2,0.02752,SbIII,10,THP-1
D,2,75,6,3,0.08,SbIII,25,THP-1
E,2,47,7,4,0.1489,SbIII,35,THP-1
F,2,77,1,1,0.01299,SbIII,65,THP-1
G,2,37,3,3,0.08108,SbIII,100,THP-1
G,3,38,15,9,0.3947,SbIII,100,C76
F,3,57,68,23,1.193,SbIII,65,C76
E,3,35,69,15,1.971,SbIII,35,C76
D,3,53,129,20,2.434,SbIII,25,C76
C,3,105,564,65,5.371,SbIII,10,C76
B,3,221,2126,167,9.62,SbIII,0,C76
B,4,216,1070,130,4.954,SbIII,0,C44
C,4,118,424,51,3.593,SbIII,10,C44
D,4,68,129,32,1.897,SbIII,25,C44
E,4,91,181,45,1.989,SbIII,35,C44
F,4,62,33,19,0.5323,SbIII,65,C44
G,4,31,15,10,0.4839,SbIII,100,C44
G,5,43,24,14,0.5581,SbIII,100,C6
F,5,31,20,6,0.6452,SbIII,65,C6
E,5,40,110,23,2.75,SbIII,35,C6
D,5,90,309,55,3.433,SbIII,25,C6
C,5,173,2081,139,12.03,SbIII,10,C6
B,5,221,3574,186,16.17,SbIII,0,C6
B,6,153,554,84,3.621,SbIII,0,C58
C,6,114,507,74,4.447,SbIII,10,C58
D,6,56,20,11,0.3571,SbIII,25,C58
E,6,79,94,30,1.19,SbIII,35,C58
F,6,58,45,14,0.7759,SbIII,65,C58
G,6,25,14,6,0.56,SbIII,100,C58
G,7,40,12,7,0.3,SbIII,100,REF
F,7,80,47,20,0.5875,SbIII,65,REF
E,7,67,61,20,0.9104,SbIII,35,REF
D,7,95,264,51,2.779,SbIII,25,REF
C,7,133,500,87,3.759,SbIII,10,REF
B,7,205,1140,135,5.561,SbIII,0,REF
B,8,221,1347,152,6.095,SbIII,0,C67
C,8,148,1123,104,7.588,SbIII,10,C67
D,8,33,114,17,3.455,SbIII,25,C67
E,8,65,169,35,2.6,SbIII,35,C67
F,8,45,17,7,0.3778,SbIII,65,C67
G,8,78,37,19,0.4744,SbIII,100,C67
G,9,56,36,13,0.6429,SbIII,100,C7
F,9,66,138,31,2.091,SbIII,65,C7
E,9,94,239,51,2.543,SbIII,35,C7
D,9,156,1099,112,7.045,SbIII,25,C7
C,9,176,1526,124,8.67,SbIII,10,C7
B,9,294,2454,204,8.347,SbIII,0,C7
B,10,231,1970,168,8.528,SbIII,0,C73
C,10,115,591,83,5.139,SbIII,10,C73
D,10,108,483,72,4.472,SbIII,25,C73
E,10,98,255,49,2.602,SbIII,35,C73
F,10,62,99,29,1.597,SbIII,65,C73
G,10,49,76,17,1.551,SbIII,100,C73
G,11,59,101,25,1.712,SbIII,100,C85
F,11,103,669,62,6.495,SbIII,65,C85
E,11,105,1139,72,10.85,SbIII,35,C85
D,11,189,2219,133,11.74,SbIII,25,C85
C,11,213,2689,162,12.62,SbIII,10,C85
B,11,237,7208,209,30.41,SbIII,0,C85
