row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,composto,conc,pop
B,2,1645,9300,1139,5.653,MILT,0,C7
C,2,1706,16058,1235,9.413,MILT,1.25,C7
D,2,1796,3382,875,1.883,MILT,2.5,C7
E,2,1547,2858,796,1.847,MILT,5,C7
F,2,1291,1586,520,1.229,MILT,10,C7
G,2,1380,1685,616,1.221,MILT,20,C7
G,3,1443,1530,634,1.06,MILT,20,C73
F,3,1745,1714,615,0.9822,MILT,10,C73
E,3,1661,2870,876,1.728,MILT,5,C73
D,3,1940,2889,869,1.489,MILT,2.5,C73
C,3,2087,13946,1500,6.682,MILT,1.25,C73
B,3,1993,10117,1356,5.076,MILT,0,C73
B,4,1746,12617,1203,7.226,MILT,0,C76
C,4,1945,20027,1459,10.3,MILT,1.25,C76
D,4,1620,8445,1010,5.213,MILT,2.5,C76
E,4,1331,1237,463,0.9294,MILT,5,C76
F,4,1385,2776,708,2.004,MILT,10,C76
G,4,1500,3033,742,2.022,MILT,20,C76
G,5,1447,2018,676,1.395,MILT,20,C44
F,5,1721,2795,856,1.624,MILT,10,C44
E,5,1354,2812,777,2.077,MILT,5,C44
D,5,1628,2946,812,1.81,MILT,2.5,C44
C,5,2195,12213,1468,5.564,MILT,1.25,C44
B,5,1924,14650,1403,7.614,MILT,0,C44
B,6,1552,6140,964,3.956,MILT,0,REF
C,6,1911,3877,962,2.029,MILT,1.25,REF
D,6,1412,1161,532,0.8222,MILT,2.5,REF
E,6,1211,848,419,0.7002,MILT,5,REF
F,6,1504,1690,721,1.124,MILT,10,REF
G,6,1695,1915,821,1.13,MILT,20,REF
G,7,1149,1980,625,1.723,MILT,20,C85
F,7,1400,3199,792,2.285,MILT,10,C85
E,7,1166,2034,645,1.744,MILT,5,C85
D,7,1602,6883,925,4.297,MILT,2.5,C85
C,7,1987,16384,1352,8.246,MILT,1.25,C85
B,7,1647,14602,1210,8.866,MILT,0,C85
B,8,1103,779,373,0.7063,MILT,0,THP-1
C,8,1244,752,401,0.6045,MILT,1.25,THP-1
D,8,954,483,287,0.5063,MILT,2.5,THP-1
E,8,994,723,329,0.7274,MILT,5,THP-1
F,8,1216,1340,586,1.102,MILT,10,THP-1
G,8,1353,1501,651,1.109,MILT,20,THP-1
G,9,1499,4464,955,2.978,MILT,20,C6
F,9,1325,6352,920,4.794,MILT,10,C6
E,9,1090,7193,811,6.599,MILT,5,C6
D,9,1069,7208,748,6.743,MILT,2.5,C6
C,9,1242,11872,880,9.559,MILT,1.25,C6
B,9,1256,14880,1032,11.85,MILT,0,C6
B,10,1201,7794,865,6.49,MILT,0,C67
C,10,1609,8437,1118,5.244,MILT,1.25,C67
D,10,1408,2223,659,1.579,MILT,2.5,C67
E,10,1068,1448,505,1.356,MILT,5,C67
F,10,1316,2299,694,1.747,MILT,10,C67
G,10,1263,2645,735,2.094,MILT,20,C67
G,11,1218,1877,677,1.541,MILT,20,C58
F,11,1063,1979,625,1.862,MILT,10,C58
E,11,805,1270,444,1.578,MILT,5,C58
D,11,1054,1536,509,1.457,MILT,2.5,C58
C,11,1361,9572,994,7.033,MILT,1.25,C58
B,11,1233,7009,848,5.685,MILT,0,C58
