Display	Use for Z'	Row	Column	Timepoint	Celulas fora da borda - Number of Objects	Ama - Number of Objects	Celulas Infectadas - Number of Objects	Formula Output 2	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count
True		B	2	0	680	520	272	0.7647	13	0	x	0	THP-1	
True		C	2	0	594	405	233	0.6818	13	0	x	10	THP-1	
True		D	2	0	482	264	147	0.5477	13	0	x	25	THP-1	
True		E	2	0	402	206	112	0.5124	13	0	x	35	THP-1	
True		F	2	0	398	95	39	0.2387	13	0	x	65	THP-1	
True		G	2	0	451	67	41	0.1486	13	0	x	100	THP-1	
True		G	3	0	329	665	121	2.021	13	0	SbIII	100	REF	
True		F	3	0	291	1293	167	4.443	13	0	SbIII	65	REF	
True		E	3	0	384	2953	234	7.69	13	0	SbIII	35	REF	
True		D	3	0	652	6646	429	10.19	13	0	SbIII	25	REF	
True		C	3	0	797	10315	573	12.94	13	0	SbIII	10	REF	
True		B	3	0	1002	11790	698	11.77	13	0	SbIII	0	REF	
True		B	4	0	750	21433	633	28.58	13	0	SbIII	0	C6	
True		C	4	0	819	17927	665	21.89	13	0	SbIII	10	C6	
True		D	4	0	662	11407	521	17.23	13	0	SbIII	25	C6	
True		E	4	0	486	6401	346	13.17	13	0	SbIII	35	C6	
True		F	4	0	332	2444	221	7.361	13	0	SbIII	65	C6	
True		G	4	0	339	1089	168	3.212	13	0	SbIII	100	C6	
True		G	5	0	434	1491	251	3.435	13	0	SbIII	100	C7	
True		F	5	0	431	2945	286	6.833	13	0	SbIII	65	C7	
True		E	5	0	470	4708	357	10.02	13	0	SbIII	35	C7	
True		D	5	0	720	14700	616	20.42	13	0	SbIII	25	C7	
True		C	5	0	813	18910	642	23.26	13	0	SbIII	10	C7	
True		B	5	0	821	18524	673	22.56	13	0	SbIII	0	C7	
True		B	6	0	900	19231	705	21.37	13	0	SbIII	0	C44	
True		C	6	0	869	16735	715	19.26	13	0	SbIII	10	C44	
True		D	6	0	566	7550	428	13.34	13	0	SbIII	25	C44	
True		E	6	0	507	5725	366	11.29	13	0	SbIII	35	C44	
True		F	6	0	378	2574	236	6.81	13	0	SbIII	65	C44	
True		G	6	0	339	585	142	1.726	13	0	SbIII	100	C44	
True		G	7	0	473	1095	196	2.315	13	0	SbIII	100	C58	
True		F	7	0	315	1544	185	4.902	13	0	SbIII	65	C58	
True		E	7	0	539	3738	381	6.935	13	0	SbIII	35	C58	
True		D	7	0	455	6416	361	14.1	13	0	SbIII	25	C58	
True		C	7	0	843	14052	635	16.67	13	0	SbIII	10	C58	
True		B	7	0	958	16879	723	17.62	13	0	SbIII	0	C58	
True		B	8	0	1017	18735	770	18.42	13	0	SbIII	0	C67	
True		C	8	0	803	16184	662	20.15	13	0	SbIII	10	C67	
True		D	8	0	457	3732	331	8.166	13	0	SbIII	25	C67	
True		E	8	0	528	3457	359	6.547	13	0	SbIII	35	C67	
True		F	8	0	330	1200	173	3.636	13	0	SbIII	65	C67	
True		G	8	0	262	489	110	1.866	13	0	SbIII	100	C67	
True		G	9	0	457	807	182	1.766	13	0	SbIII	100	C73	
True		F	9	0	307	1699	205	5.534	13	0	SbIII	65	C73	
True		E	9	0	450	6489	328	14.42	13	0	SbIII	35	C73	
True		D	9	0	605	10309	492	17.04	13	0	SbIII	25	C73	
True		C	9	0	803	22915	675	28.54	13	0	SbIII	10	C73	
True		B	9	0	1077	26666	866	24.76	13	0	SbIII	0	C73	
True		B	10	0	825	18339	716	22.23	13	0	SbIII	0	C76	
True		C	10	0	742	23339	661	31.45	13	0	SbIII	10	C76	
True		D	10	0	600	11554	509	19.26	13	0	SbIII	25	C76	
True		E	10	0	724	8969	578	12.39	13	0	SbIII	35	C76	
True		F	10	0	386	3533	257	9.153	13	0	SbIII	65	C76	
True		G	10	0	347	948	201	2.732	13	0	SbIII	100	C76	
True		G	11	0	467	2004	214	4.291	13	0	SbIII	100	C85	
True		F	11	0	432	3656	243	8.463	13	0	SbIII	65	C85	
True		E	11	0	651	7398	460	11.36	13	0	SbIII	35	C85	
True		D	11	0	656	7064	479	10.77	13	0	SbIII	25	C85	
True		C	11	0	985	11730	667	11.91	13	0	SbIII	10	C85	
True		B	11	0	1010	25014	792	24.77	13	0	SbIII	0	C85	
