Display	Use for Z'	Row	Column	Timepoint	Celulas fora da borda - Number of Objects	Ama - Number of Objects	Celulas Infectadas - Number of Objects	Celulas Infectadas - Number of Ama- Ama per Cell  - Mean per Well	Infected Cells (%)	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count
True		B	2	0	3	0	0	NaN	0	13	0	x	0	THP-1	
True		C	2	0	175	157	72	2.181	41.14	13	0	x	0.15	THP-1	
True		D	2	0	144	114	64	1.781	44.44	13	0	x	0.62	THP-1	
True		E	2	0	154	76	42	1.81	27.27	13	0	x	1.2	THP-1	
True		F	2	0	207	280	120	2.333	57.97	13	0	x	3	THP-1	
True		G	2	0	205	60	46	1.304	22.44	13	0	x	5	THP-1	
True		G	3	0	270	474	156	3.038	57.78	13	0	ANF	20	C76	
True		F	3	0	279	454	165	2.752	59.14	13	0	ANF	10	C76	
True		E	3	0	279	1023	209	4.895	74.91	13	0	ANF	5	C76	
True		D	3	0	226	1005	166	6.054	73.45	13	0	ANF	2.5	C76	
True		C	3	0	267	1428	218	6.55	81.65	13	0	ANF	1.25	C76	
True		B	3	0	162	1117	117	9.547	72.22	13	0	ANF	0	C76	
True		B	4	0	192	1045	135	7.741	70.31	13	0	ANF	0	C44	
True		C	4	0	329	1379	197	7	59.88	13	0	ANF	1.25	C44	
True		D	4	0	299	619	157	3.943	52.51	13	0	ANF	2.5	C44	
True		E	4	0	243	770	157	4.904	64.61	13	0	ANF	5	C44	
True		F	4	0	350	1077	261	4.126	74.57	13	0	ANF	10	C44	
True		G	4	0	246	530	175	3.029	71.14	13	0	ANF	20	C44	
True		G	5	0	177	322	119	2.706	67.23	13	0	ANF	20	C6	
True		F	5	0	242	912	184	4.957	76.03	13	0	ANF	10	C6	
True		E	5	0	375	3207	324	9.898	86.4	13	0	ANF	5	C6	
True		D	5	0	353	2641	281	9.399	79.6	13	0	ANF	2.5	C6	
True		C	5	0	301	5215	264	19.75	87.71	13	0	ANF	1.25	C6	
True		B	5	0	303	6551	274	23.91	90.43	13	0	ANF	0	C6	
True		B	6	0	390	5302	314	16.89	80.51	13	0	ANF	0	C58	
True		C	6	0	344	1269	224	5.665	65.12	13	0	ANF	1.25	C58	
True		D	6	0	332	1639	235	6.974	70.78	13	0	ANF	2.5	C58	
True		E	6	0	355	1045	229	4.563	64.51	13	0	ANF	5	C58	
True		F	6	0	278	420	167	2.515	60.07	13	0	ANF	10	C58	
True		G	6	0	458	636	273	2.33	59.61	13	0	ANF	20	C58	
True		G	7	0	227	165	88	1.875	38.77	13	0	ANF	20	REF	
True		F	7	0	278	374	163	2.294	58.63	13	0	ANF	10	REF	
True		E	7	0	227	408	134	3.045	59.03	13	0	ANF	5	REF	
True		D	7	0	239	509	136	3.743	56.9	13	0	ANF	2.5	REF	
True		C	7	0	231	1628	167	9.749	72.29	13	0	ANF	1.25	REF	
True		B	7	0	247	2170	181	11.99	73.28	13	0	ANF	0	REF	
True		B	8	0	325	3250	257	12.65	79.08	13	0	ANF	0	C67	
True		C	8	0	296	1275	218	5.849	73.65	13	0	ANF	1.25	C67	
True		D	8	0	320	756	207	3.652	64.69	13	0	ANF	2.5	C67	
True		E	8	0	305	971	210	4.624	68.85	13	0	ANF	5	C67	
True		F	8	0	246	270	129	2.093	52.44	13	0	ANF	10	C67	
True		G	8	0	209	131	77	1.701	36.84	13	0	ANF	20	C67	
True		G	9	0	234	331	136	2.434	58.12	13	0	ANF	20	C7	
True		F	9	0	458	688	255	2.698	55.68	13	0	ANF	10	C7	
True		E	9	0	345	1087	244	4.455	70.72	13	0	ANF	5	C7	
True		D	9	0	277	1061	188	5.644	67.87	13	0	ANF	2.5	C7	
True		C	9	0	302	1045	210	4.976	69.54	13	0	ANF	1.25	C7	
True		B	9	0	310	2577	229	11.25	73.87	13	0	ANF	0	C7	
True		B	10	0	322	4632	253	18.31	78.57	13	0	ANF	0	C73	
True		C	10	0	277	2020	225	8.978	81.23	13	0	ANF	1.25	C73	
True		D	10	0	167	366	107	3.421	64.07	13	0	ANF	2.5	C73	
True		E	10	0	156	324	107	3.028	68.59	13	0	ANF	5	C73	
True		F	10	0	278	314	150	2.093	53.96	13	0	ANF	10	C73	
True		G	10	0	204	254	120	2.117	58.82	13	0	ANF	20	C73	
True		G	11	0	146	122	67	1.821	45.89	13	0	ANF	20	C85	
True		F	11	0	127	142	63	2.254	49.61	13	0	ANF	10	C85	
True		E	11	0	285	650	160	4.063	56.14	13	0	ANF	5	C85	
True		D	11	0	127	165	59	2.797	46.46	13	0	ANF	2.5	C85	
True		C	11	0	169	471	107	4.402	63.31	13	0	ANF	1.25	C85	
True		B	11	0	199	2443	150	16.29	75.38	13	0	ANF	0	C85	
