Display	Use for Z'	Row	Column	Timepoint	Celulas fora da borda - Number of Objects	Ama - Number of Objects	Celulas Infectadas - Number of Objects	Formula Output 2	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count
True		B	2	0	1566	4412	825	2.817	13	0	MILT	0	C7	
True		C	2	0	1579	9468	1043	5.996	13	0	MILT	1.25	C7	
True		D	2	0	1679	2032	666	1.21	13	0	MILT	2.5	C7	
True		E	2	0	1485	1231	440	0.829	13	0	MILT	5	C7	
True		F	2	0	1237	1062	388	0.8585	13	0	MILT	10	C7	
True		G	2	0	1308	501	216	0.383	13	0	MILT	20	C7	
True		G	3	0	1412	439	219	0.3109	13	0	MILT	20	C73	
True		F	3	0	1676	960	432	0.5728	13	0	MILT	10	C73	
True		E	3	0	1597	1886	614	1.181	13	0	MILT	5	C73	
True		D	3	0	1805	1609	627	0.8914	13	0	MILT	2.5	C73	
True		C	3	0	1966	7656	1212	3.894	13	0	MILT	1.25	C73	
True		B	3	0	1885	5614	1037	2.978	13	0	MILT	0	C73	
True		B	4	0	1684	7191	939	4.27	13	0	MILT	0	C76	
True		C	4	0	1782	9291	1142	5.214	13	0	MILT	1.25	C76	
True		D	4	0	1501	4078	749	2.717	13	0	MILT	2.5	C76	
True		E	4	0	1244	461	218	0.3706	13	0	MILT	5	C76	
True		F	4	0	1332	970	320	0.7282	13	0	MILT	10	C76	
True		G	4	0	1462	1159	320	0.7927	13	0	MILT	20	C76	
True		G	5	0	1411	690	263	0.489	13	0	MILT	20	C44	
True		F	5	0	1642	1512	506	0.9208	13	0	MILT	10	C44	
True		E	5	0	1312	1682	535	1.282	13	0	MILT	5	C44	
True		D	5	0	1511	1558	566	1.031	13	0	MILT	2.5	C44	
True		C	5	0	1994	6271	1158	3.145	13	0	MILT	1.25	C44	
True		B	5	0	1800	10258	1211	5.699	13	0	MILT	0	C44	
True		B	6	0	1506	2940	721	1.952	13	0	MILT	0	REF	
True		C	6	0	1789	2030	608	1.135	13	0	MILT	1.25	REF	
True		D	6	0	1301	216	125	0.166	13	0	MILT	2.5	REF	
True		E	6	0	1151	82	61	0.07124	13	0	MILT	5	REF	
True		F	6	0	1454	429	219	0.295	13	0	MILT	10	REF	
True		G	6	0	1679	494	220	0.2942	13	0	MILT	20	REF	
True		G	7	0	1136	544	225	0.4789	13	0	MILT	20	C85	
True		F	7	0	1331	1417	415	1.065	13	0	MILT	10	C85	
True		E	7	0	1108	745	296	0.6724	13	0	MILT	5	C85	
True		D	7	0	1499	3436	617	2.292	13	0	MILT	2.5	C85	
True		C	7	0	1797	8908	1082	4.957	13	0	MILT	1.25	C85	
True		B	7	0	1598	8217	1005	5.142	13	0	MILT	0	C85	
True		B	8	0	1079	34	27	0.03151	13	0	MILT	0	THP-1	
True		C	8	0	1217	39	36	0.03205	13	0	MILT	1.25	THP-1	
True		D	8	0	883	8	8	0.00906	13	0	MILT	2.5	THP-1	
True		E	8	0	962	17	16	0.01767	13	0	MILT	5	THP-1	
True		F	8	0	1207	38	36	0.03148	13	0	MILT	10	THP-1	
True		G	8	0	1330	28	26	0.02105	13	0	MILT	20	THP-1	
True		G	9	0	1436	2465	667	1.717	13	0	MILT	20	C6	
True		F	9	0	1248	4290	772	3.438	13	0	MILT	10	C6	
True		E	9	0	1084	3935	704	3.63	13	0	MILT	5	C6	
True		D	9	0	1031	3387	627	3.285	13	0	MILT	2.5	C6	
True		C	9	0	1137	6208	724	5.46	13	0	MILT	1.25	C6	
True		B	9	0	1146	8495	868	7.413	13	0	MILT	0	C6	
True		B	10	0	1160	4788	669	4.128	13	0	MILT	0	C67	
True		C	10	0	1548	4976	922	3.214	13	0	MILT	1.25	C67	
True		D	10	0	1343	1086	413	0.8086	13	0	MILT	2.5	C67	
True		E	10	0	1029	492	242	0.4781	13	0	MILT	5	C67	
True		F	10	0	1268	937	332	0.739	13	0	MILT	10	C67	
True		G	10	0	1244	1086	373	0.873	13	0	MILT	20	C67	
True		G	11	0	1181	342	192	0.2896	13	0	MILT	20	C58	
True		F	11	0	1048	566	238	0.5401	13	0	MILT	10	C58	
True		E	11	0	788	479	209	0.6079	13	0	MILT	5	C58	
True		D	11	0	1028	661	255	0.643	13	0	MILT	2.5	C58	
True		C	11	0	1285	5325	792	4.144	13	0	MILT	1.25	C58	
True		B	11	0	1180	4140	698	3.508	13	0	MILT	0	C58	
