Display	Use for Z'	Row	Column	Timepoint	Celulas fora da borda - Number of Objects	Ama - Number of Objects	Celulas Infectadas - Number of Objects	Formula Output 2	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count
True		B	2	0	1623	11744	1200	7.236	13	0	ANF	0	C67	
True		C	2	0	1456	3183	621	2.186	12	0	ANF	0.15	C67	
True		D	2	0	954	6785	658	7.112	13	0	ANF	0.62	C67	
True		E	2	0	660	1026	252	1.555	13	0	ANF	1.2	C67	
True		F	2	0	255	283	94	1.11	13	0	ANF	3	C67	
True		G	2	0	50	24	18	0.48	13	0	ANF	5	C67	
True		G	3	0	106	52	26	0.4906	13	0	ANF	20	C6	
True		F	3	0	351	404	136	1.151	13	0	ANF	10	C6	
True		E	3	0	926	1027	307	1.109	13	0	ANF	5	C6	
True		D	3	0	1299	3631	656	2.795	13	0	ANF	2.5	C6	
True		C	3	0	1949	2676	604	1.373	13	0	ANF	1.25	C6	
True		B	3	0	1542	7861	1023	5.098	13	0	ANF	0	C6	
True		B	4	0	788	18	18	0.02284	13	0	ANF	0	THP-1	
True		C	4	0	1179	39	29	0.03308	13	0	ANF	1.25	THP-1	
True		D	4	0	729	21	20	0.02881	13	0	ANF	2.5	THP-1	
True		E	4	0	372	3	3	0.008065	13	0	ANF	5	THP-1	
True		F	4	0	314	9	7	0.02866	13	0	ANF	10	THP-1	
True		G	4	0	602	4	3	0.006645	13	0	ANF	20	THP-1	
True		G	5	0	126	36	20	0.2857	13	0	ANF	20	REF	
True		F	5	0	464	238	111	0.5129	13	0	ANF	10	REF	
True		E	5	0	460	258	134	0.5609	13	0	ANF	5	REF	
True		D	5	0	875	739	246	0.8446	13	0	ANF	2.5	REF	
True		C	5	0	2054	1421	421	0.6918	13	0	ANF	1.25	REF	
True		B	5	0	1944	8093	1118	4.163	13	0	ANF	0	REF	
True		B	6	0	2171	9408	1292	4.333	13	0	ANF	0	C85	
True		C	6	0	1826	4388	652	2.403	13	0	ANF	1.25	C85	
True		D	6	0	1751	1762	441	1.006	13	0	ANF	2.5	C85	
True		E	6	0	1642	1114	308	0.6784	13	0	ANF	5	C85	
True		F	6	0	442	176	94	0.3982	13	0	ANF	10	C85	
True		G	6	0	666	508	213	0.7628	13	0	ANF	20	C85	
True		G	7	0	532	333	127	0.6259	13	0	ANF	20	C73	
True		F	7	0	671	413	172	0.6155	13	0	ANF	10	C73	
True		E	7	0	1155	809	269	0.7004	13	0	ANF	5	C73	
True		D	7	0	1308	1243	319	0.9503	13	0	ANF	2.5	C73	
True		C	7	0	1758	2525	513	1.436	13	0	ANF	1.25	C73	
True		B	7	0	1844	11777	1298	6.387	13	0	ANF	0	C73	
True		B	8	0	1616	12326	1174	7.627	13	0	ANF	0	C76	
True		C	8	0	1819	3335	690	1.833	13	0	ANF	1.25	C76	
True		D	8	0	1466	2082	474	1.42	13	0	ANF	2.5	C76	
True		E	8	0	1163	602	260	0.5176	13	0	ANF	5	C76	
True		F	8	0	568	342	137	0.6021	13	0	ANF	10	C76	
True		G	8	0	534	215	110	0.4026	13	0	ANF	20	C76	
True		G	9	0	435	281	114	0.646	13	0	ANF	20	C58	
True		F	9	0	516	348	139	0.6744	13	0	ANF	10	C58	
True		E	9	0	1395	961	332	0.6889	13	0	ANF	5	C58	
True		D	9	0	1699	1632	426	0.9606	13	0	ANF	2.5	C58	
True		C	9	0	1900	1798	376	0.9463	13	0	ANF	1.25	C58	
True		B	9	0	1451	2470	653	1.702	13	0	ANF	0	C58	
True		B	10	0	1662	2388	699	1.437	13	0	ANF	0	C7	
True		C	10	0	1798	1609	369	0.8949	13	0	ANF	1.25	C7	
True		D	10	0	1830	1094	358	0.5978	13	0	ANF	2.5	C7	
True		E	10	0	919	468	195	0.5092	13	0	ANF	5	C7	
True		F	10	0	604	257	109	0.4255	13	0	ANF	10	C7	
True		G	10	0	550	115	63	0.2091	13	0	ANF	20	C7	
True		G	11	0	187	61	28	0.3262	13	0	ANF	20	C44	
True		F	11	0	377	154	78	0.4085	13	0	ANF	10	C44	
True		E	11	0	436	242	116	0.555	13	0	ANF	5	C44	
True		D	11	0	998	1413	317	1.416	13	0	ANF	2.5	C44	
True		C	11	0	1389	1640	397	1.181	13	0	ANF	1.25	C44	
True		B	11	0	1367	8369	1013	6.122	13	0	ANF	0	C44	
