"","row","column","n_celulas","n_amas","n_cels_infec","mean_ama_cel","n_cels_infec_percentual","composto","conc","pop","ama_noninf","corrected_ama","ama_per_cell"
"1","B",2,1036,63,49,1.286,4.73,"x",0,"THP-1",63,0,0
"2","C",2,834,206,126,1.635,15.11,"x",1.6,"THP-1",206,0,0
"3","D",2,719,89,64,1.391,8.901,"x",3.2,"THP-1",89,0,0
"4","E",2,900,79,59,1.339,6.556,"x",10,"THP-1",79,0,0
"5","F",2,624,386,201,1.92,32.21,"x",35,"THP-1",386,0,0
"6","G",2,169,48,24,2,14.2,"x",100,"THP-1",48,0,0
"7","G",3,89,60,22,2.727,24.72,"SbIII",100,"REF",386,0,0
"8","F",3,535,1946,335,5.809,62.62,"SbIII",35,"REF",206,1740,3.25233644859813
"9","E",3,1382,9245,926,9.984,67,"SbIII",10,"REF",89,9156,6.62518089725036
"10","D",3,1367,12089,1054,11.47,77.1,"SbIII",3.2,"REF",79,12010,8.78566203365033
"11","C",3,1210,10661,923,11.55,76.28,"SbIII",1.6,"REF",63,10598,8.75867768595041
"12","B",3,1232,8177,873,9.367,70.86,"SbIII",0,"REF",48,8129,6.59821428571429
"13","B",4,931,16102,772,20.86,82.92,"SbIII",0,"C6",386,15716,16.8807733619764
"14","C",4,1465,27404,1240,22.1,84.64,"SbIII",1.6,"C6",206,27198,18.5651877133106
"15","D",4,1334,25365,1134,22.37,85.01,"SbIII",3.2,"C6",89,25276,18.9475262368816
"16","E",4,1289,26588,1116,23.82,86.58,"SbIII",10,"C6",79,26509,20.5655546935609
"17","F",4,676,7630,490,15.57,72.49,"SbIII",35,"C6",63,7567,11.1937869822485
"18","G",4,225,381,90,4.233,40,"SbIII",100,"C6",48,333,1.48
"19","G",5,105,67,22,3.045,20.95,"SbIII",100,"C7",386,0,0
"20","F",5,550,3829,391,9.793,71.09,"SbIII",35,"C7",206,3623,6.58727272727273
"21","E",5,1176,14010,802,17.47,68.2,"SbIII",10,"C7",89,13921,11.8375850340136
"22","D",5,1273,15351,960,15.99,75.41,"SbIII",3.2,"C7",79,15272,11.9968578161822
"23","C",5,1196,16521,898,18.4,75.08,"SbIII",1.6,"C7",63,16458,13.7608695652174
"24","B",5,1042,8240,692,11.91,66.41,"SbIII",0,"C7",48,8192,7.86180422264875
"25","B",6,876,6467,609,10.62,69.52,"SbIII",0,"C44",386,6081,6.94178082191781
"26","C",6,1429,16583,1057,15.69,73.97,"SbIII",1.6,"C44",206,16377,11.4604618614416
"27","D",6,1260,16101,959,16.79,76.11,"SbIII",3.2,"C44",89,16012,12.7079365079365
"28","E",6,1380,14138,924,15.3,66.96,"SbIII",10,"C44",79,14059,10.1876811594203
"29","F",6,486,2880,337,8.546,69.34,"SbIII",35,"C44",63,2817,5.7962962962963
"30","G",6,85,33,19,1.737,22.35,"SbIII",100,"C44",48,0,0
"31","G",7,121,139,38,3.658,31.4,"SbIII",100,"C58",386,0,0
"32","F",7,438,2599,311,8.357,71,"SbIII",35,"C58",206,2393,5.4634703196347
"33","E",7,1103,9903,788,12.57,71.44,"SbIII",10,"C58",89,9814,8.89755213055304
"34","D",7,1279,11214,969,11.57,75.76,"SbIII",3.2,"C58",79,11135,8.70602032838155
"35","C",7,990,8581,760,11.29,76.77,"SbIII",1.6,"C58",63,8518,8.6040404040404
"36","B",7,616,4040,406,9.951,65.91,"SbIII",0,"C58",48,3992,6.48051948051948
"37","B",8,931,5988,641,9.342,68.85,"SbIII",0,"C67",386,5602,6.0171858216971
"38","C",8,1413,13820,1104,12.52,78.13,"SbIII",1.6,"C67",206,13614,9.6348195329087
"39","D",8,1165,9606,822,11.69,70.56,"SbIII",3.2,"C67",89,9517,8.16909871244635
"40","E",8,1337,10734,955,11.24,71.43,"SbIII",10,"C67",79,10655,7.96933433059088
"41","F",8,565,5690,468,12.16,82.83,"SbIII",35,"C67",63,5627,9.95929203539823
"42","G",8,220,358,89,4.022,40.45,"SbIII",100,"C67",48,310,1.40909090909091
"43","G",9,197,372,70,5.314,35.53,"SbIII",100,"C73",386,0,0
"44","F",9,490,4007,363,11.04,74.08,"SbIII",35,"C73",206,3801,7.75714285714286
"45","E",9,1206,10715,894,11.99,74.13,"SbIII",10,"C73",89,10626,8.81094527363184
"46","D",9,1386,13712,1022,13.42,73.74,"SbIII",3.2,"C73",79,13633,9.83621933621934
"47","C",9,1301,11651,955,12.2,73.41,"SbIII",1.6,"C73",63,11588,8.90699461952344
"48","B",9,756,5547,520,10.67,68.78,"SbIII",0,"C73",48,5499,7.27380952380952
"49","B",10,950,7655,624,12.27,65.68,"SbIII",0,"C85",386,7269,7.65157894736842
"50","C",10,1273,12804,930,13.77,73.06,"SbIII",1.6,"C85",206,12598,9.89630793401414
"51","D",10,1182,13034,883,14.76,74.7,"SbIII",3.2,"C85",89,12945,10.9517766497462
"52","E",10,1043,10546,736,14.33,70.57,"SbIII",10,"C85",79,10467,10.0354745925216
"53","F",10,403,3916,307,12.76,76.18,"SbIII",35,"C85",63,3853,9.56079404466501
"54","G",10,129,91,28,3.25,21.71,"SbIII",100,"C85",48,43,0.333333333333333
"55","G",11,282,589,119,4.95,42.2,"SbIII",100,"C89",386,203,0.719858156028369
"56","F",11,606,4763,507,9.394,83.66,"SbIII",35,"C89",206,4557,7.51980198019802
"57","E",11,1209,9590,909,10.55,75.19,"SbIII",10,"C89",89,9501,7.85856079404467
"58","D",11,1260,11919,1014,11.75,80.48,"SbIII",3.2,"C89",79,11840,9.3968253968254
"59","C",11,1020,9102,829,10.98,81.27,"SbIII",1.6,"C89",63,9039,8.86176470588235
"60","B",11,372,1584,232,6.828,62.37,"SbIII",0,"C89",48,1536,4.12903225806452
