row,column,n_celulas,n_amas,n_cels_infec,mean_ama_cel,n_cels_infec_percentual,composto,conc,pop
B,2,1036,63,49,1.286,4.73,x,0,THP-1
C,2,834,206,126,1.635,15.11,x,1.6,THP-1
D,2,719,89,64,1.391,8.901,x,3.2,THP-1
E,2,900,79,59,1.339,6.556,x,10,THP-1
F,2,624,386,201,1.92,32.21,x,35,THP-1
G,2,169,48,24,2,14.2,x,100,THP-1
G,3,89,60,22,2.727,24.72,SbIII,100,REF
F,3,535,1946,335,5.809,62.62,SbIII,35,REF
E,3,1382,9245,926,9.984,67,SbIII,10,REF
D,3,1367,12089,1054,11.47,77.1,SbIII,3.2,REF
C,3,1210,10661,923,11.55,76.28,SbIII,1.6,REF
B,3,1232,8177,873,9.367,70.86,SbIII,0,REF
B,4,931,16102,772,20.86,82.92,SbIII,0,C6
C,4,1465,27404,1240,22.1,84.64,SbIII,1.6,C6
D,4,1334,25365,1134,22.37,85.01,SbIII,3.2,C6
E,4,1289,26588,1116,23.82,86.58,SbIII,10,C6
F,4,676,7630,490,15.57,72.49,SbIII,35,C6
G,4,225,381,90,4.233,40,SbIII,100,C6
G,5,105,67,22,3.045,20.95,SbIII,100,C7
F,5,550,3829,391,9.793,71.09,SbIII,35,C7
E,5,1176,14010,802,17.47,68.2,SbIII,10,C7
D,5,1273,15351,960,15.99,75.41,SbIII,3.2,C7
C,5,1196,16521,898,18.4,75.08,SbIII,1.6,C7
B,5,1042,8240,692,11.91,66.41,SbIII,0,C7
B,6,876,6467,609,10.62,69.52,SbIII,0,C44
C,6,1429,16583,1057,15.69,73.97,SbIII,1.6,C44
D,6,1260,16101,959,16.79,76.11,SbIII,3.2,C44
E,6,1380,14138,924,15.3,66.96,SbIII,10,C44
F,6,486,2880,337,8.546,69.34,SbIII,35,C44
G,6,85,33,19,1.737,22.35,SbIII,100,C44
G,7,121,139,38,3.658,31.4,SbIII,100,C58
F,7,438,2599,311,8.357,71,SbIII,35,C58
E,7,1103,9903,788,12.57,71.44,SbIII,10,C58
D,7,1279,11214,969,11.57,75.76,SbIII,3.2,C58
C,7,990,8581,760,11.29,76.77,SbIII,1.6,C58
B,7,616,4040,406,9.951,65.91,SbIII,0,C58
B,8,931,5988,641,9.342,68.85,SbIII,0,C67
C,8,1413,13820,1104,12.52,78.13,SbIII,1.6,C67
D,8,1165,9606,822,11.69,70.56,SbIII,3.2,C67
E,8,1337,10734,955,11.24,71.43,SbIII,10,C67
F,8,565,5690,468,12.16,82.83,SbIII,35,C67
G,8,220,358,89,4.022,40.45,SbIII,100,C67
G,9,197,372,70,5.314,35.53,SbIII,100,C73
F,9,490,4007,363,11.04,74.08,SbIII,35,C73
E,9,1206,10715,894,11.99,74.13,SbIII,10,C73
D,9,1386,13712,1022,13.42,73.74,SbIII,3.2,C73
C,9,1301,11651,955,12.2,73.41,SbIII,1.6,C73
B,9,756,5547,520,10.67,68.78,SbIII,0,C73
B,10,950,7655,624,12.27,65.68,SbIII,0,C85
C,10,1273,12804,930,13.77,73.06,SbIII,1.6,C85
D,10,1182,13034,883,14.76,74.7,SbIII,3.2,C85
E,10,1043,10546,736,14.33,70.57,SbIII,10,C85
F,10,403,3916,307,12.76,76.18,SbIII,35,C85
G,10,129,91,28,3.25,21.71,SbIII,100,C85
G,11,282,589,119,4.95,42.2,SbIII,100,C89
F,11,606,4763,507,9.394,83.66,SbIII,35,C89
E,11,1209,9590,909,10.55,75.19,SbIII,10,C89
D,11,1260,11919,1014,11.75,80.48,SbIII,3.2,C89
C,11,1020,9102,829,10.98,81.27,SbIII,1.6,C89
B,11,372,1584,232,6.828,62.37,SbIII,0,C89
