Display	Use for Z'	Row	Column	Timepoint	Celulas fora da borda - Number of Objects	Ama - Number of Objects	Celulas Infectadas - Number of Objects	Celulas Infectadas - Number of Ama- Ama per Cell  - Mean per Well	Infected Cells (%)	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count
True		B	2	0	1393	1548	320	4.838	22.97	13	0	x	0	THP-1	
True		C	2	0	2263	699	294	2.378	12.99	13	0	x	1.6	THP-1	
True		D	2	0	2037	401	213	1.883	10.46	13	0	x	3.2	THP-1	
True		E	2	0	1592	464	268	1.731	16.83	13	0	x	10	THP-1	
True		F	2	0	1212	758	384	1.974	31.68	13	0	x	35	THP-1	
True		G	2	0	553	237	135	1.756	24.41	13	0	x	100	THP-1	
True		G	3	0	531	1531	327	4.682	61.58	13	0	SbIII	100	REF	
True		F	3	0	971	4342	667	6.51	68.69	13	0	SbIII	35	REF	
True		E	3	0	1591	10618	1190	8.923	74.8	13	0	SbIII	10	REF	
True		D	3	0	2101	12890	1472	8.757	70.06	13	0	SbIII	3.2	REF	
True		C	3	0	1403	5769	859	6.716	61.23	13	0	SbIII	1.6	REF	
True		B	3	0	2279	10299	1401	7.351	61.47	13	0	SbIII	0	REF	
True		B	4	0	2211	19421	1659	11.71	75.03	13	0	SbIII	0	C6	
True		C	4	0	2068	18551	1560	11.89	75.44	13	0	SbIII	1.6	C6	
True		D	4	0	1906	17732	1495	11.86	78.44	13	0	SbIII	3.2	C6	
True		E	4	0	1511	14202	1216	11.68	80.48	13	0	SbIII	10	C6	
True		F	4	0	799	5037	599	8.409	74.97	13	0	SbIII	35	C6	
True		G	4	0	615	2674	410	6.522	66.67	13	0	SbIII	100	C6	
True		G	5	0	517	1312	299	4.388	57.83	13	0	SbIII	100	C7	
True		F	5	0	1187	5254	819	6.415	69	13	0	SbIII	35	C7	
True		E	5	0	1592	6450	1046	6.166	65.7	13	0	SbIII	10	C7	
True		D	5	0	2043	10562	1339	7.888	65.54	13	0	SbIII	3.2	C7	
True		C	5	0	2689	12176	1703	7.15	63.33	13	0	SbIII	1.6	C7	
True		B	5	0	2145	9194	1329	6.918	61.96	12	0	SbIII	0	C7	
True		B	6	0	619	7873	412	19.11	66.56	13	0	SbIII	0	C44	
True		C	6	0	2625	17701	1846	9.589	70.32	13	0	SbIII	1.6	C44	
True		D	6	0	2169	15997	1549	10.33	71.42	13	0	SbIII	3.2	C44	
True		E	6	0	2043	11178	1434	7.795	70.19	13	0	SbIII	10	C44	
True		F	6	0	1310	6872	954	7.203	72.82	13	0	SbIII	35	C44	
True		G	6	0	937	5075	688	7.376	73.43	13	0	SbIII	100	C44	
True		G	7	0	892	3195	570	5.605	63.9	13	0	SbIII	100	C58	
True		F	7	0	1249	8549	919	9.303	73.58	13	0	SbIII	35	C58	
True		E	7	0	1391	8458	997	8.483	71.68	13	0	SbIII	10	C58	
True		D	7	0	1939	14481	1455	9.953	75.04	13	0	SbIII	3.2	C58	
True		C	7	0	2141	13516	1517	8.91	70.85	13	0	SbIII	1.6	C58	
True		B	7	0	2120	10358	1356	7.639	63.96	13	0	SbIII	0	C58	
True		B	8	0	2355	12485	1575	7.927	66.88	13	0	SbIII	0	C67	
True		C	8	0	2561	17708	1762	10.05	68.8	13	0	SbIII	1.6	C67	
True		D	8	0	2271	15575	1636	9.52	72.04	13	0	SbIII	3.2	C67	
True		E	8	0	1281	5854	912	6.419	71.19	13	0	SbIII	10	C67	
True		F	8	0	960	3553	671	5.295	69.9	13	0	SbIII	35	C67	
True		G	8	0	380	785	216	3.634	56.84	13	0	SbIII	100	C67	
True		G	9	0	499	1312	320	4.1	64.13	13	0	SbIII	100	C73	
True		F	9	0	1151	6254	899	6.957	78.11	13	0	SbIII	35	C73	
True		E	9	0	1352	7302	1019	7.166	75.37	13	0	SbIII	10	C73	
True		D	9	0	2492	16306	1824	8.94	73.19	13	0	SbIII	3.2	C73	
True		C	9	0	2504	15299	1783	8.58	71.21	13	0	SbIII	1.6	C73	
True		B	9	0	2415	11645	1590	7.324	65.84	13	0	SbIII	0	C73	
True		B	10	0	2393	11305	1286	8.791	53.74	13	0	SbIII	0	C85	
True		C	10	0	2438	13687	1523	8.987	62.47	13	0	SbIII	1.6	C85	
True		D	10	0	1981	12221	1245	9.816	62.85	13	0	SbIII	3.2	C85	
True		E	10	0	1471	9505	980	9.699	66.62	13	0	SbIII	10	C85	
True		F	10	0	1102	5710	761	7.503	69.06	13	0	SbIII	35	C85	
True		G	10	0	551	1266	288	4.396	52.27	13	0	SbIII	100	C85	
True		G	11	0	443	1427	300	4.757	67.72	13	0	SbIII	100	C76 - PGPA	
True		F	11	0	936	5606	683	8.208	72.97	13	0	SbIII	35	C76 - PGPA	
True		E	11	0	1452	7705	965	7.984	66.46	13	0	SbIII	10	C76 - PGPA	
True		D	11	0	1709	10968	1102	9.953	64.48	13	0	SbIII	3.2	C76 - PGPA	
True		C	11	0	2106	10119	1180	8.575	56.03	13	0	SbIII	1.6	C76 - PGPA	
True		B	11	0	2104	8927	1154	7.736	54.85	13	0	SbIII	0	C76 - PGPA	
