Display	Use for Z'	Row	Column	Timepoint	Celulas fora da borda - Number of Objects	Ama - Number of Objects	Celulas Infectadas - Number of Objects	Celulas Infectadas - Number of Ama- Ama per Cell  - Mean per Well	Infected Cells (%)	Number of Analyzed Fields	Time [s]	Compound	Concentration	Cell Type	Cell Count
True		B	2	0	1036	63	49	1.286	4.73	13	0	x	0	THP-1	
True		C	2	0	834	206	126	1.635	15.11	13	0	x	1.6	THP-1	
True		D	2	0	719	89	64	1.391	8.901	13	0	x	3.2	THP-1	
True		E	2	0	900	79	59	1.339	6.556	13	0	x	10	THP-1	
True		F	2	0	624	386	201	1.92	32.21	13	0	x	35	THP-1	
True		G	2	0	169	48	24	2	14.2	13	0	x	100	THP-1	
True		G	3	0	89	60	22	2.727	24.72	13	0	SbIII	100	REF	
True		F	3	0	535	1946	335	5.809	62.62	13	0	SbIII	35	REF	
True		E	3	0	1382	9245	926	9.984	67	13	0	SbIII	10	REF	
True		D	3	0	1367	12089	1054	11.47	77.1	13	0	SbIII	3.2	REF	
True		C	3	0	1210	10661	923	11.55	76.28	13	0	SbIII	1.6	REF	
True		B	3	0	1232	8177	873	9.367	70.86	13	0	SbIII	0	REF	
True		B	4	0	931	16102	772	20.86	82.92	13	0	SbIII	0	C6	
True		C	4	0	1465	27404	1240	22.1	84.64	13	0	SbIII	1.6	C6	
True		D	4	0	1334	25365	1134	22.37	85.01	13	0	SbIII	3.2	C6	
True		E	4	0	1289	26588	1116	23.82	86.58	13	0	SbIII	10	C6	
True		F	4	0	676	7630	490	15.57	72.49	13	0	SbIII	35	C6	
True		G	4	0	225	381	90	4.233	40	13	0	SbIII	100	C6	
True		G	5	0	105	67	22	3.045	20.95	13	0	SbIII	100	C7	
True		F	5	0	550	3829	391	9.793	71.09	13	0	SbIII	35	C7	
True		E	5	0	1176	14010	802	17.47	68.2	13	0	SbIII	10	C7	
True		D	5	0	1273	15351	960	15.99	75.41	13	0	SbIII	3.2	C7	
True		C	5	0	1196	16521	898	18.4	75.08	13	0	SbIII	1.6	C7	
True		B	5	0	1042	8240	692	11.91	66.41	13	0	SbIII	0	C7	
True		B	6	0	876	6467	609	10.62	69.52	13	0	SbIII	0	C44	
True		C	6	0	1429	16583	1057	15.69	73.97	13	0	SbIII	1.6	C44	
True		D	6	0	1260	16101	959	16.79	76.11	13	0	SbIII	3.2	C44	
True		E	6	0	1380	14138	924	15.3	66.96	13	0	SbIII	10	C44	
True		F	6	0	486	2880	337	8.546	69.34	13	0	SbIII	35	C44	
True		G	6	0	85	33	19	1.737	22.35	13	0	SbIII	100	C44	
True		G	7	0	121	139	38	3.658	31.4	13	0	SbIII	100	C58	
True		F	7	0	438	2599	311	8.357	71	13	0	SbIII	35	C58	
True		E	7	0	1103	9903	788	12.57	71.44	13	0	SbIII	10	C58	
True		D	7	0	1279	11214	969	11.57	75.76	13	0	SbIII	3.2	C58	
True		C	7	0	990	8581	760	11.29	76.77	13	0	SbIII	1.6	C58	
True		B	7	0	616	4040	406	9.951	65.91	13	0	SbIII	0	C58	
True		B	8	0	931	5988	641	9.342	68.85	13	0	SbIII	0	C67	
True		C	8	0	1413	13820	1104	12.52	78.13	13	0	SbIII	1.6	C67	
True		D	8	0	1165	9606	822	11.69	70.56	13	0	SbIII	3.2	C67	
True		E	8	0	1337	10734	955	11.24	71.43	13	0	SbIII	10	C67	
True		F	8	0	565	5690	468	12.16	82.83	13	0	SbIII	35	C67	
True		G	8	0	220	358	89	4.022	40.45	13	0	SbIII	100	C67	
True		G	9	0	197	372	70	5.314	35.53	13	0	SbIII	100	C73	
True		F	9	0	490	4007	363	11.04	74.08	13	0	SbIII	35	C73	
True		E	9	0	1206	10715	894	11.99	74.13	13	0	SbIII	10	C73	
True		D	9	0	1386	13712	1022	13.42	73.74	13	0	SbIII	3.2	C73	
True		C	9	0	1301	11651	955	12.2	73.41	13	0	SbIII	1.6	C73	
True		B	9	0	756	5547	520	10.67	68.78	13	0	SbIII	0	C73	
True		B	10	0	950	7655	624	12.27	65.68	13	0	SbIII	0	C85	
True		C	10	0	1273	12804	930	13.77	73.06	13	0	SbIII	1.6	C85	
True		D	10	0	1182	13034	883	14.76	74.7	13	0	SbIII	3.2	C85	
True		E	10	0	1043	10546	736	14.33	70.57	13	0	SbIII	10	C85	
True		F	10	0	403	3916	307	12.76	76.18	13	0	SbIII	35	C85	
True		G	10	0	129	91	28	3.25	21.71	13	0	SbIII	100	C85	
True		G	11	0	282	589	119	4.95	42.2	13	0	SbIII	100	C89	
True		F	11	0	606	4763	507	9.394	83.66	13	0	SbIII	35	C89	
True		E	11	0	1209	9590	909	10.55	75.19	13	0	SbIII	10	C89	
True		D	11	0	1260	11919	1014	11.75	80.48	13	0	SbIII	3.2	C89	
True		C	11	0	1020	9102	829	10.98	81.27	13	0	SbIII	1.6	C89	
True		B	11	0	372	1584	232	6.828	62.37	13	0	SbIII	0	C89	
